# Mf af A2220 phi2220 logL logPrior
5.820020346547679679e+01 4.571104768565366627e-01 5.255901826799505905e+00 1.139926569144112056e+00 1.978522496496110398e+04 0.000000000000000000e+00
7.341243737294225014e+01 7.479236980595774797e-01 4.242154427652932824e+00 1.101779933597221373e+00 1.978523160986990115e+04 0.000000000000000000e+00
6.146730401749533002e+01 5.025576118941077475e-01 6.000945139397246386e+00 1.132029927414159642e+00 1.978532284829076161e+04 0.000000000000000000e+00
5.652715723292229200e+01 4.284525456425845591e-01 5.962383585849718060e+00 9.832400889869895577e-01 1.978538028151203616e+04 0.000000000000000000e+00
5.779276078344235401e+01 3.964638988081586879e-01 5.161132229344260303e+00 1.118022386554686332e+00 1.978538154863559976e+04 0.000000000000000000e+00
7.122405293525385162e+01 7.287081755148608897e-01 4.550361888022875334e+00 1.216993093695808659e+00 1.978541055484667959e+04 0.000000000000000000e+00
6.090631182282329803e+01 5.462460724289449621e-01 4.864271831100701604e+00 9.232246793332068435e-01 1.978542208921130805e+04 0.000000000000000000e+00
5.566277279002657963e+01 3.891453530748685274e-01 5.893131276209110148e+00 1.058280128125581809e+00 1.978550783568092811e+04 0.000000000000000000e+00
6.116719064053005894e+01 5.497775022520833277e-01 5.962820202218661159e+00 1.003813969020154406e+00 1.978551497802604354e+04 0.000000000000000000e+00
6.998403622688705639e+01 7.120222969072551589e-01 4.763370736770992764e+00 1.214562034638841270e+00 1.978557717243510706e+04 0.000000000000000000e+00
5.636886493372799833e+01 3.941762073689155654e-01 5.430949676763765943e+00 1.104473451779006687e+00 1.978558078117815967e+04 0.000000000000000000e+00
6.639700467733634071e+01 6.779464076719361465e-01 4.552107058870268119e+00 1.065020470605283709e+00 1.978562885386512789e+04 0.000000000000000000e+00
6.848882523817486856e+01 6.480697525742932230e-01 5.061186658926602355e+00 1.138220892214071522e+00 1.978565839748159124e+04 0.000000000000000000e+00
6.196538722463326820e+01 5.682692902134881541e-01 5.025431407653369931e+00 1.124009490908243647e+00 1.978571174586720008e+04 0.000000000000000000e+00
5.628082416458717319e+01 3.337741722739715478e-01 5.794208126680198134e+00 1.183787397097602945e+00 1.978571525704603118e+04 0.000000000000000000e+00
6.291302146545701390e+01 5.562009852741423011e-01 5.060773118442774887e+00 9.979269471917626699e-01 1.978572754370652910e+04 0.000000000000000000e+00
7.415686012595740806e+01 8.128167189440979046e-01 4.519980561255896312e+00 9.173617697455279663e-01 1.978575314399751369e+04 0.000000000000000000e+00
6.886037805036636428e+01 7.192319289133577431e-01 4.668719611376308087e+00 1.107598057081841780e+00 1.978580093657657562e+04 0.000000000000000000e+00
6.504755719129197189e+01 6.780807386438597595e-01 5.267248580755911291e+00 8.437622735911445293e-01 1.978580640416692040e+04 0.000000000000000000e+00
7.348733379982050451e+01 7.623640747873765555e-01 4.386209408422380385e+00 1.168598400913890778e+00 1.978587330014920008e+04 0.000000000000000000e+00
6.665915076790032856e+01 6.611776073923132380e-01 4.860564694279219111e+00 9.219951283790456253e-01 1.978588204745197436e+04 0.000000000000000000e+00
6.222450822356280753e+01 5.411749154056372246e-01 4.794400319337362326e+00 1.103902937624201552e+00 1.978588479965678198e+04 0.000000000000000000e+00
6.589255799558587512e+01 6.527610736784688061e-01 4.496256583305489052e+00 1.057810020179461130e+00 1.978593705405508808e+04 0.000000000000000000e+00
7.133227674482874647e+01 7.333883634328725032e-01 4.314495789343892440e+00 1.134844798419941014e+00 1.978593838117441919e+04 0.000000000000000000e+00
6.560724607212752346e+01 6.793657028436920209e-01 5.419307472246922330e+00 9.077253600535274414e-01 1.978599126371198872e+04 0.000000000000000000e+00
5.933163490785914007e+01 4.657289396988246732e-01 5.492996859982856250e+00 1.023514596866029969e+00 1.978605012208707194e+04 0.000000000000000000e+00
6.169369003803802087e+01 5.074362284616806829e-01 5.004674394463746623e+00 1.141881618746992011e+00 1.978606834572381558e+04 0.000000000000000000e+00
7.263843178018345270e+01 7.366425914705736488e-01 4.819225264093978112e+00 1.172043044265466571e+00 1.978609871697408016e+04 0.000000000000000000e+00
6.927692394054130887e+01 7.231194253548740569e-01 4.965991913083398046e+00 8.999547798386731134e-01 1.978611148183953992e+04 0.000000000000000000e+00
6.073837616848575749e+01 5.443453083338384291e-01 5.041502894420855974e+00 1.037008855858245981e+00 1.978619569739696090e+04 0.000000000000000000e+00
7.443379179181214056e+01 7.785004157179399309e-01 4.682484300920457088e+00 1.104613541493200346e+00 1.978620175874443157e+04 0.000000000000000000e+00
5.989189000993822987e+01 4.616623078745314968e-01 5.801578245242898113e+00 1.137786754577623238e+00 1.978620615190445460e+04 0.000000000000000000e+00
6.429535176315231126e+01 6.386046110292364908e-01 5.207736054461909347e+00 1.071135199071614030e+00 1.978620678626986410e+04 0.000000000000000000e+00
7.089113953419865766e+01 7.146737650688380628e-01 4.968338790068633770e+00 1.078679590173462932e+00 1.978625526109979182e+04 0.000000000000000000e+00
5.946736065763057155e+01 4.412585611508465511e-01 5.434404024861715143e+00 1.160001410455882453e+00 1.978627303550221768e+04 0.000000000000000000e+00
5.951599150003055883e+01 4.757194233403669870e-01 5.447441405555410121e+00 1.026079110549902973e+00 1.978627488343028745e+04 0.000000000000000000e+00
6.300828656190141430e+01 5.936284773077200594e-01 5.616669604516498993e+00 9.732878452418807225e-01 1.978628610862368078e+04 0.000000000000000000e+00
5.849964337041358675e+01 4.333013671103441711e-01 5.451314483306008540e+00 1.141545274550251898e+00 1.978630049944372149e+04 0.000000000000000000e+00
7.111408497429809472e+01 7.311061033736379056e-01 4.819304218857118904e+00 1.171080012933473080e+00 1.978633436063544286e+04 0.000000000000000000e+00
6.127262398845164171e+01 5.809381593560891677e-01 5.247199345819450578e+00 9.401599676851741805e-01 1.978636216419576886e+04 0.000000000000000000e+00
6.969435072539955911e+01 7.170918701295956321e-01 5.102635406679604912e+00 9.835021275841793198e-01 1.978637330440336882e+04 0.000000000000000000e+00
6.016421726214030485e+01 4.645650053359109966e-01 5.505109175108821695e+00 1.129094426603667101e+00 1.978637378638922019e+04 0.000000000000000000e+00
