# Mf af A2220 A2330 phi2220 phi2330 logL logPrior
8.733334310705494374e+01 7.669677914584348555e-01 4.271287464121650856e+01 3.328268464213066213e+00 5.928694440500567708e+00 5.899375232890827547e+00 8.248168485790094564e+03 0.000000000000000000e+00
6.844155454542863026e+01 3.223491202920559795e-01 4.450765981097833901e+01 1.647565801833148935e+00 4.925900659134542003e+00 2.381002029799741404e+00 1.085353093108410212e+04 0.000000000000000000e+00
9.277602041699901747e+01 3.127818492770573777e-01 4.471155399285377285e+01 6.090788563625761043e+00 1.067322572704419770e+00 1.817180109139358013e+00 1.230379492245104484e+04 0.000000000000000000e+00
8.893763934139786898e+01 5.299936418717867692e-01 3.382845059750474803e+01 1.302114105857338888e+00 5.344887337967533014e+00 2.231234589058034512e+00 1.244014566163493510e+04 0.000000000000000000e+00
7.071394288392296801e+01 6.850747378745729588e-01 3.568864503868928750e+01 3.433781144936060681e+00 4.074781825670132029e+00 2.316120980793931139e+00 1.248109382561639904e+04 0.000000000000000000e+00
9.089085476725232127e+01 5.009641342575474887e-01 4.048207701603799791e+01 3.129430299617922184e+00 4.708690429772693697e+00 2.975218989212999876e-01 1.252610893455147379e+04 0.000000000000000000e+00
7.112667430981275629e+01 5.108860520336083733e-01 3.616446662406890766e+01 6.513373915239818679e+00 5.902245992143562603e+00 5.836592641079196397e+00 1.270823217075750290e+04 0.000000000000000000e+00
8.235537392730823569e+01 5.167097245947801509e-01 2.868431243079819026e+01 7.131560502314975736e+00 5.940965002177378551e+00 3.706460834877616684e+00 1.445995259961888041e+04 0.000000000000000000e+00
6.940118034086511045e+01 7.125599678625373912e-01 2.477361501845282277e+01 2.869874181899309651e+00 3.604189857594047197e+00 3.737405024070215909e+00 1.503510288689343179e+04 0.000000000000000000e+00
5.279195020284200979e+01 2.903764575929648761e-01 3.980885879500493019e+01 6.830269842997313212e+00 2.549326721276081731e+00 5.942524602397700306e+00 1.534518875330085211e+04 0.000000000000000000e+00
8.127257251279533534e+01 4.696034722688190999e-01 4.246375437964308475e+01 2.972279314535729355e+00 3.680252358203261132e+00 3.562652993046590666e+00 1.554439828940125881e+04 0.000000000000000000e+00
5.860975248641140212e+01 4.575971760162312330e-01 4.136123193935807052e+01 6.963076546858861793e-01 2.563945084150386577e+00 1.150765378114220194e+00 1.555194955764159749e+04 0.000000000000000000e+00
7.282683410127955881e+01 7.735701925739234541e-01 1.817214504243637663e+01 3.357518434478669711e+00 4.902204878479283323e+00 1.155771037514875532e+00 1.556710836236086652e+04 0.000000000000000000e+00
5.764672734489439421e+01 9.064813126245557795e-01 2.725640433108690175e+01 6.658118990895368405e+00 2.128652831559429970e+00 4.892781064258152846e+00 1.570198748990166678e+04 0.000000000000000000e+00
6.023651521103795403e+01 7.805529115985399002e-01 2.703972110595468337e+01 6.146121789946339398e+00 3.778844299230001091e+00 3.345671004622516875e+00 1.571035364155884781e+04 0.000000000000000000e+00
5.688166096627854529e+01 5.369406959471391128e-01 2.114885921306641947e+01 1.321437127850878301e+00 3.434489030589912506e+00 4.485202658696096023e+00 1.610597008188942527e+04 0.000000000000000000e+00
5.232365432720433773e+01 4.342817482579384714e-01 1.970119482784388509e+01 5.147148757438873012e+00 3.928760378480148141e+00 5.257468845405324220e-01 1.616323799220305227e+04 0.000000000000000000e+00
6.908597589883159173e+01 8.358321286731578148e-01 1.209101174579872939e+01 3.772493631788418345e-01 3.492733629291831399e+00 3.336633495162796059e+00 1.686655234684479001e+04 0.000000000000000000e+00
7.941764855988878935e+01 9.116060146591947744e-01 1.089364609958651187e+01 7.369809501526297879e+00 3.070563626955017167e+00 1.395849791633286152e+00 1.691418360668720561e+04 0.000000000000000000e+00
9.449193315399556070e+01 5.495362533389852588e-01 6.596838842871510344e+00 7.039431568684889839e+00 4.617655134907467485e+00 1.355772240048551680e+00 1.700537804964890893e+04 0.000000000000000000e+00
8.854357010761607683e+01 4.406003806242986820e-01 3.473017900324899188e+01 7.722914323123783120e+00 2.940038597719882407e+00 4.877569111500477561e+00 1.704613603536291339e+04 0.000000000000000000e+00
8.061041789491754628e+01 8.546775844294043356e-01 2.812796295360607246e+01 7.876565556866166329e-01 1.100184443383921649e-02 5.344861517563986197e+00 1.710376971918048366e+04 0.000000000000000000e+00
6.180502617743389493e+01 9.366623272770366881e-01 2.270353044626333272e+01 5.095377701727693776e+00 5.111429484800581236e+00 5.737929628008502370e-01 1.717470014895813802e+04 0.000000000000000000e+00
5.903461979157531658e+01 8.101609977214726532e-01 1.432200213558823521e+01 4.812435503592953800e+00 4.033373152078194579e+00 3.742438293806683025e-01 1.717475779612640326e+04 0.000000000000000000e+00
6.951700778746385367e+01 4.899249788223357660e-01 3.675780679286567931e+01 2.189457428737701328e+00 2.503633894531577475e+00 4.677693235864416543e+00 1.751855490163090872e+04 0.000000000000000000e+00
9.330228856507395108e+01 2.118033232375164943e-01 1.909039020439553624e+01 3.458742827662631747e+00 9.348839610476767925e-01 5.142279879402996912e+00 1.755575757793352022e+04 0.000000000000000000e+00
8.327936498148037003e+01 9.504045365748921004e-01 2.618329971424894609e+01 2.231499560263712212e+00 1.252687813761037994e+00 5.694282992174017011e+00 1.756635158002336175e+04 0.000000000000000000e+00
6.397391952301222062e+01 5.432591858691593334e-01 1.405258661509971674e+01 7.834941704613166413e-01 3.111350994946248782e+00 4.023756580626191237e+00 1.757721284366270629e+04 0.000000000000000000e+00
6.889415850631495175e+01 2.695487969126081351e-01 7.481504068062836410e+00 1.715987487015526503e+00 5.303361508574205629e+00 3.655750211611132006e+00 1.762092240170872901e+04 0.000000000000000000e+00
8.469395137004039498e+01 3.635810978707563756e-01 1.100225457845258070e+01 4.714697914983281279e+00 1.074017620369678516e+00 4.773956809486168407e-01 1.763056682564199946e+04 0.000000000000000000e+00
