# Mf af A2220 phi2220 logL logPrior
6.245293502685495213e+01 4.904924119233335933e-01 6.162184897701498798e+00 1.363466400388190669e+00 1.978268796786514213e+04 0.000000000000000000e+00
5.563311465205202921e+01 3.288672698362858915e-01 6.182325751204984954e+00 9.880361940972539614e-01 1.978269796967243019e+04 0.000000000000000000e+00
5.673667546711131138e+01 2.799633473879545309e-01 5.396181882723198875e+00 1.170331250609588647e+00 1.978270791072289649e+04 0.000000000000000000e+00
5.626299780558193220e+01 3.724105530194153357e-01 5.414385182628048021e+00 1.274772117609635602e+00 1.978272451278945300e+04 0.000000000000000000e+00
5.930269932530032406e+01 3.907684341160548303e-01 4.763362279504857355e+00 1.170502522339080587e+00 1.978273071743241599e+04 0.000000000000000000e+00
5.450792464272481652e+01 4.268443283533773225e-01 5.643000768131519074e+00 9.632257963905704878e-01 1.978275769900248997e+04 0.000000000000000000e+00
8.090850778685791056e+01 8.730725530240106558e-01 4.024776505134895821e+00 8.506374324342935722e-01 1.978277039738815802e+04 0.000000000000000000e+00
6.502493023296152330e+01 6.813365922520244755e-01 4.209440137878734056e+00 9.560318630428841225e-01 1.978277276795269427e+04 0.000000000000000000e+00
5.624257925272037539e+01 3.020403814086723981e-01 4.879467983081429594e+00 1.209840174673899593e+00 1.978278303320650593e+04 0.000000000000000000e+00
7.102966047460188292e+01 7.672242252885238534e-01 5.171761523772175018e+00 1.104009035183814991e+00 1.978283788645101231e+04 0.000000000000000000e+00
5.639655123856881858e+01 3.829594023500040301e-01 4.955430188794727187e+00 9.219587569680178785e-01 1.978287209860589064e+04 0.000000000000000000e+00
6.667156459247368616e+01 5.973818443918684773e-01 4.564899750325212224e+00 1.080089161094316408e+00 1.978290428508916011e+04 0.000000000000000000e+00
5.655444165471210738e+01 4.667198206580942532e-01 5.808707727960621625e+00 7.685528806723114226e-01 1.978290681488360133e+04 0.000000000000000000e+00
6.389435514297252894e+01 5.831779564402329585e-01 6.221466743558125678e+00 1.058189241359474675e+00 1.978292416175660037e+04 0.000000000000000000e+00
6.999702448711046543e+01 6.428409181994418908e-01 5.332909516567471364e+00 1.350216899425229267e+00 1.978302034755283967e+04 0.000000000000000000e+00
8.070050627778852004e+01 8.519571550865743248e-01 3.934135577788211879e+00 9.685849949790256153e-01 1.978302452782364708e+04 0.000000000000000000e+00
5.646567461464990600e+01 3.820650487515502292e-01 6.103630411826156177e+00 9.405728409099011200e-01 1.978304681427419200e+04 0.000000000000000000e+00
5.553258331387782931e+01 2.417881055190201633e-01 5.911036726548541509e+00 1.397174240146915825e+00 1.978305255924610901e+04 0.000000000000000000e+00
5.800854660936511209e+01 5.474637737355290135e-01 5.847080400988239113e+00 8.680942834082399084e-01 1.978306789254658725e+04 0.000000000000000000e+00
5.486600348406282990e+01 2.589384445494852804e-01 6.044752891233319048e+00 1.076691810521672954e+00 1.978306966307336188e+04 0.000000000000000000e+00
6.342596029356572274e+01 5.522007767337773210e-01 4.367430859630713869e+00 1.214633704883272047e+00 1.978307574105024105e+04 0.000000000000000000e+00
6.801685647416344693e+01 7.617219187742492181e-01 4.287842091722216864e+00 7.404460755417127116e-01 1.978310240552571122e+04 0.000000000000000000e+00
5.631991420079844346e+01 4.420813465305853951e-01 4.884662167669246990e+00 1.015843764798044502e+00 1.978310954685508113e+04 0.000000000000000000e+00
5.835625435402818084e+01 3.475826334681491048e-01 5.391765159994864831e+00 1.388640800806122844e+00 1.978312064368113352e+04 0.000000000000000000e+00
6.387459742852175992e+01 5.034652211867607363e-01 5.970043722434200895e+00 1.304552508190341298e+00 1.978313732757729667e+04 0.000000000000000000e+00
6.995378897115485017e+01 6.972837776049907177e-01 4.002740179421359734e+00 1.022142211531572809e+00 1.978316698862872727e+04 0.000000000000000000e+00
7.345335721361624337e+01 7.379066532942549772e-01 5.196514802355125973e+00 1.129516236333367507e+00 1.978318882341757489e+04 0.000000000000000000e+00
5.273406771000087900e+01 2.097724818309519290e-01 6.502428250297759504e+00 1.073985878394398075e+00 1.978320097963435910e+04 0.000000000000000000e+00
5.335758410579709476e+01 2.407356816382686115e-01 5.110426331810280054e+00 1.164404749218014290e+00 1.978322873080324280e+04 0.000000000000000000e+00
5.476587776009704811e+01 2.290434391632863442e-01 5.198404154962551260e+00 1.236050745874111678e+00 1.978325463804359606e+04 0.000000000000000000e+00
6.195441316993186831e+01 5.504429452302219694e-01 6.259194338201039542e+00 1.009088550298372189e+00 1.978327823978347078e+04 0.000000000000000000e+00
6.215552483017367535e+01 5.702959379370281523e-01 5.507427923188463303e+00 1.234295198181283748e+00 1.978330343582096975e+04 0.000000000000000000e+00
6.231291796788963211e+01 5.985534123772008330e-01 5.300455899367692680e+00 1.160860266644723415e+00 1.978332004437708019e+04 0.000000000000000000e+00
6.018081611331684400e+01 5.383859183815602467e-01 5.918873362674898608e+00 8.431417821981143090e-01 1.978334378109160025e+04 0.000000000000000000e+00
6.350029052000385121e+01 6.366646233820029144e-01 5.723933026434292692e+00 7.963552813092531490e-01 1.978334536741735428e+04 0.000000000000000000e+00
5.423094053244118840e+01 2.444371151632547812e-01 5.361441108945243172e+00 1.286345337660826260e+00 1.978334854962081590e+04 0.000000000000000000e+00
5.444556634578475496e+01 4.100797027330201905e-01 5.489041021488840322e+00 8.031000956552096781e-01 1.978336156295491310e+04 0.000000000000000000e+00
5.884592635042071151e+01 5.239367987603779087e-01 4.669507534628641210e+00 9.738928987452509789e-01 1.978337158807909873e+04 0.000000000000000000e+00
6.719110438608259983e+01 6.706564468145428393e-01 4.200062523702919215e+00 8.955023751642938734e-01 1.978338373154860528e+04 0.000000000000000000e+00
6.136331669841976577e+01 4.247792648829972206e-01 4.993375408951859384e+00 1.283745892802957922e+00 1.978338982856150324e+04 0.000000000000000000e+00
6.111727107183267549e+01 4.824670550834606053e-01 4.671551189886687716e+00 1.046787165942070441e+00 1.978340894092621966e+04 0.000000000000000000e+00
5.550548558787176034e+01 4.140214335579616156e-01 6.253503099192005976e+00 1.068735015987673842e+00 1.978341686727683555e+04 0.000000000000000000e+00
6.114267744751097666e+01 4.947703546559641397e-01 5.882625850300408743e+00 1.007212344316386288e+00 1.978342494096721202e+04 0.000000000000000000e+00
5.501455647665157045e+01 2.449607666470761114e-01 5.219773162221982510e+00 1.182274572182392181e+00 1.978343406157674326e+04 0.000000000000000000e+00
