# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
6.573618274622099023e+01 6.564756543617941142e-01 9.395590691247942772e+00 1.250050981270186057e+01 1.050997070608482131e+00 4.247346052355940316e+00 1.978260497802984173e+04 0.000000000000000000e+00
6.380599297583595586e+01 5.469167665051022365e-01 8.144649304325653816e+00 8.576447338946032062e+00 1.175003558584790442e+00 4.153983506398640557e+00 1.978261362084124994e+04 0.000000000000000000e+00
7.389576415735143655e+01 7.265259918602690048e-01 7.310409757324873858e+00 9.207645070065741066e+00 1.561510530281960962e+00 4.930948038757334118e+00 1.978272219602553014e+04 0.000000000000000000e+00
6.943427508964683170e+01 6.437312832272561458e-01 7.675921162637113326e+00 9.242912995699988699e+00 1.410334757123273830e+00 4.636589535187386701e+00 1.978280578658292143e+04 0.000000000000000000e+00
6.649574106577162524e+01 6.601150075276928098e-01 1.089687910461774045e+01 1.384629117269989784e+01 1.066201730761442867e+00 4.300699311834125460e+00 1.978301062747326068e+04 0.000000000000000000e+00
6.445378915885548565e+01 6.039239686361810300e-01 8.551558796478122559e+00 1.012745805359406681e+01 8.958388350456187865e-01 3.887733253032901182e+00 1.978304812033817143e+04 0.000000000000000000e+00
7.033608186370770454e+01 7.119196760803538915e-01 7.211712621955948421e+00 7.974429162615383149e+00 1.354868140611159788e+00 4.747511544874232214e+00 1.978306257058157280e+04 0.000000000000000000e+00
5.590413403570139650e+01 2.837282089126809681e-01 1.036832283185971271e+01 1.316310172435267312e+01 1.348512600922363358e+00 4.567406365827753945e+00 1.978313054908674167e+04 0.000000000000000000e+00
6.364697662194740246e+01 6.327422780707822048e-01 1.063830848370700188e+01 1.330197427075285610e+01 7.793659057000741353e-01 3.684433897174240080e+00 1.978316380087645302e+04 0.000000000000000000e+00
6.680967750994318521e+01 7.013585879248448451e-01 8.026694612543177954e+00 8.664943837026383378e+00 9.026315571551201122e-01 4.216202758039453435e+00 1.978327218723766782e+04 0.000000000000000000e+00
6.020317719008270529e+01 4.946960410800498864e-01 1.142212577262303697e+01 1.372253083833088105e+01 1.114598857603408488e+00 4.187907341346149614e+00 1.978331697140251708e+04 0.000000000000000000e+00
5.790514520938392451e+01 4.084020975288895627e-01 9.911647324896003752e+00 1.332580131967769432e+01 1.197702641568798576e+00 4.466694059751432633e+00 1.978340556408965858e+04 0.000000000000000000e+00
5.746640790083220907e+01 4.254333614929305951e-01 9.751408469740555418e+00 1.039175028210181928e+01 1.085013932308484641e+00 4.070050133116220437e+00 1.978341069002691802e+04 0.000000000000000000e+00
6.666960675114489732e+01 6.143226416964910896e-01 8.398292776401824256e+00 9.480624706922720080e+00 1.360879015801333525e+00 4.769983188749516323e+00 1.978360555657348596e+04 0.000000000000000000e+00
6.492565407241967534e+01 6.070144372498335050e-01 1.066139533876920886e+01 1.358376728350901708e+01 1.314761301327226350e+00 4.652730286693663508e+00 1.978361470783362165e+04 0.000000000000000000e+00
7.529342357499076854e+01 8.049947447385319421e-01 7.432999400480320595e+00 6.555039635199310766e+00 9.501649948434199855e-01 3.883036512301168308e+00 1.978368515158144874e+04 0.000000000000000000e+00
6.345100714307807266e+01 5.876619455027655148e-01 1.016043541387943705e+01 1.307783684804264723e+01 1.081969046124852341e+00 4.426646086369848909e+00 1.978368677720162304e+04 0.000000000000000000e+00
6.391309283271235131e+01 5.775745319836915748e-01 8.650544697533396388e+00 9.096362886922472413e+00 1.336270548659966639e+00 4.600112013035402292e+00 1.978376816981024240e+04 0.000000000000000000e+00
6.537686985591433597e+01 6.618031980722460794e-01 9.596375963822342925e+00 1.017987454494212862e+01 1.012913615436396908e+00 4.310038379058416247e+00 1.978381981146164981e+04 0.000000000000000000e+00
5.984085752522586432e+01 5.032400455081380564e-01 1.093461107143504130e+01 1.296127008545652437e+01 8.704234952025048377e-01 3.858657160953419929e+00 1.978385375310824020e+04 0.000000000000000000e+00
5.812225890722611865e+01 4.590068666026914657e-01 1.086373043192441656e+01 1.281118617232054291e+01 8.531646233356053877e-01 3.870567492693449019e+00 1.978395313973174052e+04 0.000000000000000000e+00
6.050436901181592475e+01 4.900743694316342935e-01 1.140672120814254775e+01 1.384138510745475514e+01 1.158631328281592099e+00 4.295078782428309871e+00 1.978400156339068417e+04 0.000000000000000000e+00
6.282049541876214960e+01 5.394211655494923763e-01 1.000072499775644630e+01 1.271783844485974058e+01 1.423378788528209649e+00 4.714174372279515524e+00 1.978401833470984275e+04 0.000000000000000000e+00
6.914577843376463306e+01 7.514892569470228434e-01 9.263405752927875270e+00 9.455854565562054503e+00 7.786945818684251064e-01 3.870325964309714983e+00 1.978402205381362364e+04 0.000000000000000000e+00
5.820488369572870369e+01 4.219640874665855357e-01 9.741513152207019743e+00 1.152985831055346821e+01 1.261496825072471184e+00 4.443163279661900056e+00 1.978403035072223793e+04 0.000000000000000000e+00
6.219613856580558320e+01 6.032177340185590486e-01 8.648597071786902291e+00 9.437775250076583688e+00 9.756168421820565761e-01 4.169696588559218320e+00 1.978403626160779459e+04 0.000000000000000000e+00
6.014512912401171718e+01 5.278779488797467057e-01 8.604341807014350252e+00 9.328576927328498414e+00 9.168299573867791930e-01 4.040026987907267220e+00 1.978404132190647579e+04 0.000000000000000000e+00
6.375591937232368878e+01 5.510674772346433326e-01 1.050332454488074774e+01 1.250837954176345690e+01 1.189831625307487206e+00 4.306315549930039843e+00 1.978411378843040802e+04 0.000000000000000000e+00
6.248490543487232429e+01 5.282511773233770080e-01 1.047255343500003555e+01 1.371530699750367255e+01 1.284254782451666355e+00 4.458419218059804123e+00 1.978415180781866366e+04 0.000000000000000000e+00
7.586228433428759388e+01 7.725122240475674751e-01 7.810921975436472486e+00 8.232319017803172656e+00 1.389304748750182394e+00 4.661379978404256441e+00 1.978415661254227598e+04 0.000000000000000000e+00
6.686992883623379669e+01 6.844128315872243240e-01 1.000944213717538389e+01 1.105980664735059449e+01 8.677794918852933526e-01 3.792176748931817443e+00 1.978419521560835710e+04 0.000000000000000000e+00
6.020947263134321759e+01 4.873602353064782622e-01 9.637805856599836574e+00 1.239213125096405577e+01 1.120420545992081740e+00 4.403248682635735101e+00 1.978422467415585197e+04 0.000000000000000000e+00
7.116091626031412432e+01 7.510896694623194758e-01 7.396256593427484205e+00 8.124116088123194857e+00 8.142852454343613156e-01 3.715952668845815765e+00 1.978422864365074201e+04 0.000000000000000000e+00
6.243829298940978845e+01 6.014682732973378743e-01 8.459126149530419525e+00 8.871579822881264121e+00 9.606095821285128844e-01 4.178018837771765526e+00 1.978423464527362376e+04 0.000000000000000000e+00
6.229054238436426516e+01 5.819856567965457916e-01 8.529524860645352646e+00 9.637067517471686884e+00 1.068042528464553609e+00 4.340426368213327279e+00 1.978429293329414213e+04 0.000000000000000000e+00
6.780845077719541791e+01 6.333166070107635326e-01 9.964324618398507027e+00 1.153207750127694098e+01 1.293684030126657003e+00 4.492709738240923123e+00 1.978432719800945415e+04 0.000000000000000000e+00
6.614969023248407609e+01 7.093234833743142786e-01 8.317921751606334624e+00 1.008409398018218717e+01 5.716445022458424008e-01 3.460903449632775519e+00 1.978433413581526838e+04 0.000000000000000000e+00
6.971383498342134999e+01 7.424942096011197812e-01 8.767714860865588378e+00 1.016360572326353129e+01 9.665838690878200135e-01 4.026346961183969064e+00 1.978436878333266213e+04 0.000000000000000000e+00
5.589237363634539690e+01 3.969638631697492426e-01 1.055157366902078842e+01 1.221982625102623921e+01 9.249296832429383386e-01 3.933696153631548675e+00 1.978444595579270390e+04 0.000000000000000000e+00
6.422631633613924862e+01 5.919627047305177081e-01 8.509677193944206408e+00 8.218271923776111265e+00 1.183728328995357071e+00 4.231714995191849127e+00 1.978450886110115607e+04 0.000000000000000000e+00
5.809978336801373899e+01 4.362299156180415860e-01 9.476327936330392276e+00 1.102919354318724743e+01 1.125437940858939889e+00 4.357743515675861268e+00 1.978451560934568988e+04 0.000000000000000000e+00
6.394364952133984303e+01 5.444734369656032413e-01 9.546676784783594272e+00 1.064197133937846473e+01 1.269970089258508406e+00 4.359132468182438380e+00 1.978454443288067705e+04 0.000000000000000000e+00
6.557949151026591039e+01 5.923859605385691784e-01 1.054465725290116396e+01 1.430714793537808660e+01 1.393078640594162643e+00 4.728768792716762093e+00 1.978455267452521002e+04 0.000000000000000000e+00
6.656534998196319464e+01 6.317030821097485704e-01 8.615142947010342667e+00 1.016688404155312320e+01 1.349457355394479752e+00 4.751411838400469101e+00 1.978456654130262541e+04 0.000000000000000000e+00
5.917283817360785036e+01 5.226702408951894308e-01 1.095053991373158375e+01 1.335822195090083753e+01 8.703757344055640388e-01 3.990732470604947402e+00 1.978457704270721661e+04 0.000000000000000000e+00
7.011361536416973195e+01 6.923722757329958677e-01 7.885001197994933264e+00 9.788988694774516830e+00 1.294080176377054636e+00 4.650212674019654102e+00 1.978464298289601720e+04 0.000000000000000000e+00
6.664581274427662549e+01 6.167052916768870352e-01 8.014041675563873923e+00 8.432729017159111606e+00 1.301270843883123085e+00 4.600272833432970998e+00 1.978464478039616733e+04 0.000000000000000000e+00
6.507873159558542397e+01 5.735063202272031591e-01 8.220652387518327942e+00 9.157310782018647899e+00 1.279776646875094182e+00 4.453698669806863464e+00 1.978466372124577538e+04 0.000000000000000000e+00
6.615299516479529984e+01 7.050318493089314797e-01 8.067706249831410048e+00 8.604524589899943621e+00 7.782387922600418895e-01 3.861614447625931756e+00 1.978470192084501832e+04 0.000000000000000000e+00
6.431328931017506534e+01 6.122919453788528976e-01 8.270499190095069508e+00 8.608336139096428141e+00 1.094076521289438997e+00 4.380396244573895537e+00 1.978475229202393530e+04 0.000000000000000000e+00
6.119996022653270984e+01 5.260594932023953119e-01 1.009539112653091486e+01 1.120770339387023284e+01 9.458771598269215541e-01 3.968686039876057503e+00 1.978477505160525834e+04 0.000000000000000000e+00
6.415831808411103054e+01 6.155061947266088351e-01 9.744738201188743787e+00 9.975046272092527033e+00 9.142140686127742111e-01 3.895213358886957078e+00 1.978484322200181123e+04 0.000000000000000000e+00
6.701159053259405596e+01 6.969757750584926193e-01 9.260429591683186246e+00 1.022727667163522014e+01 9.824236041646750017e-01 4.267943739234045353e+00 1.978489307707317857e+04 0.000000000000000000e+00
6.492570697998438334e+01 5.987878243718757210e-01 1.058320685381283255e+01 1.362820837666667373e+01 1.304123166105013443e+00 4.570254810776350318e+00 1.978490313753941155e+04 0.000000000000000000e+00
6.259982629850297542e+01 5.359073964524716516e-01 9.188607762360470943e+00 1.149984134484676801e+01 1.331381708915691409e+00 4.691687456906699083e+00 1.978494564913465365e+04 0.000000000000000000e+00
6.522801149951837374e+01 5.656390554983776742e-01 9.613361941618771667e+00 1.351835004654548023e+01 1.449871127776786395e+00 4.767222015151711290e+00 1.978495243170365211e+04 0.000000000000000000e+00
6.379012920485341454e+01 5.559502403704622564e-01 9.410737106980141320e+00 1.097882857430388093e+01 1.189848417528014402e+00 4.254770721761876651e+00 1.978495870484228362e+04 0.000000000000000000e+00
