Mf	af	A2220	A2221	phi2220	phi2221	logL
6.98907337301108668726e+01	8.93073382317760344762e-01	9.02533661335922943181e+00	1.38947836413104592879e+01	2.46076941478981980893e+00	2.43535149085349900133e+00        1.844383e+04
8.81508241741186964191e+01	3.04820528964288572915e-01	1.24781992972396125197e+01	9.20306118729345534746e+00	4.81900191826705515119e-01	5.66881229256213003964e+00        1.851919e+04
5.69602578776288410722e+01	6.94321223186750269285e-01	1.24029707355547280656e+01	1.31999439644322702492e+01	4.66536673623016717727e+00	5.09474988058691469206e+00        1.882838e+04
9.91205542573044908750e+01	7.96669402735236453772e-01	1.36842295361973853574e+01	1.04774778629421803089e+01	4.66057848035477650939e+00	8.79123893829921732035e-01        1.885177e+04
9.04925042771203891334e+01	4.09577899862418326471e-01	1.00031154826350512366e+01	6.64843323186712531481e+00	4.13965029603939882463e+00	4.04705964099476744877e+00        1.886772e+04
9.45377540336918826824e+01	5.98243278654876808886e-01	1.06287627308291536821e+01	7.06753732734858974851e-01	5.22114119918299091072e-02	3.14634254807037638813e+00        1.892515e+04
8.88961996896890127573e+01	3.96482687282317503019e-01	1.31031020582716699607e+01	3.07171352432984212655e-01	1.45763015853970667735e+00	4.14054297005391536146e+00        1.893976e+04
6.47165901655822750627e+01	7.95384609398745889841e-01	1.03641900368147794609e+01	2.78974368156478025327e+00	3.32794658144014610102e+00	5.32338869202872189135e+00        1.897975e+04
7.70309993504098571293e+01	4.45127194495736511204e-01	9.90536900960519517412e+00	8.99567880933146390987e+00	3.22883773880737035000e+00	3.90456486683468639853e+00        1.899180e+04
5.10326212038644158042e+01	4.88173039096475192000e-01	1.08769847797746468387e+01	4.83981667802316728455e+00	4.23518114725589711611e+00	3.76705812347255752925e+00        1.901192e+04
5.31263442180140330606e+01	9.02280123999551819658e-01	1.02043466818525878637e+01	4.51807238665008892298e+00	1.83026553095189581377e+00	2.39868309218183917153e+00        1.910069e+04
9.55844131807948400592e+01	9.15300069124722281977e-01	5.86794573075954062347e+00	7.61537705779579443544e+00	5.36038628653366089338e+00	3.26286899996549095704e+00        1.911025e+04
9.20293805323937021967e+01	8.33365483939523588042e-01	8.82214663339618532234e+00	1.03609368213337020848e+01	6.13749504529470257808e+00	1.97818355646740906550e+00        1.916605e+04
5.22126738715350882103e+01	2.89068157745387965818e-01	8.48050985621899044986e+00	1.34979015903435612955e+01	5.20240207218649164389e+00	5.87812263449274574612e+00        1.925124e+04
8.57353585260349717601e+01	8.86376743419125978640e-01	2.94645825409279193963e+00	1.43816277100401510580e+01	3.12785689420207457800e-01	4.70943807286486659791e+00        1.927085e+04
5.13213521494594573369e+01	7.10709455198549000521e-01	7.66020166379727296402e+00	1.33327304952493790324e+01	4.32343600355582236006e+00	5.05965358023035616242e+00        1.927529e+04
7.38354762853184922733e+01	9.01382597431832799373e-01	2.10286159900787161803e+00	9.77167371209171342628e+00	3.13452001742195696110e+00	4.54778010619367822898e+00        1.931163e+04
5.96575101031926493533e+01	6.60341617287152571336e-01	5.39521300123078795252e+00	6.33448596378757677883e+00	3.08561536923726897896e+00	2.37208354683910283001e+00        1.936213e+04
6.13830752165871942339e+01	8.26506652237227523727e-01	1.37450460515164021302e+01	7.77517109785323068394e+00	1.52123881071145827804e+00	4.87130566846341572784e+00        1.937318e+04
5.54722545227444356897e+01	4.72437100541600984993e-01	7.70690043893180654067e+00	1.47327382050710156136e+01	1.87334738868440320303e+00	7.22753879605922300300e-01        1.938465e+04
7.98673502398914649802e+01	4.66329127631323059333e-01	7.21181188965328079377e+00	4.30869041937426011657e+00	5.38541273748950111155e-01	4.58410122799006636285e+00        1.940668e+04
5.10874606225120260206e+01	5.22879392702136458482e-01	1.42406353442929733966e+00	1.35445931042150249368e+01	1.78329650499249159346e+00	3.26667651549039650405e+00        1.941161e+04
5.66453317051720617314e+01	2.68922419601572093573e-01	1.69105079193380403169e+00	9.26235054880190844528e+00	3.77924601793293568619e+00	4.11196756189388512581e+00        1.942882e+04
5.47183702167106602587e+01	6.39557242889042365519e-01	9.35022982280610293060e+00	8.68369366533885767012e+00	5.70432109709440204881e+00	2.06283372898436428988e-01        1.944797e+04
5.62373849287819780329e+01	8.03401895186364733981e-01	3.42534791095523782900e+00	1.20550610346397295558e+01	5.41142572357692919205e-01	5.44163905488457388948e-01        1.945935e+04
8.95653859973474624212e+01	7.78775905438006454951e-01	1.01951953995650566043e+01	4.98934748873549693826e+00	1.73749202713276318377e+00	3.25117074854287269048e+00        1.946477e+04
8.30088827790446117660e+01	6.42898561833994852677e-01	3.94684661692586669091e+00	8.60288834047303829777e+00	3.18351590715562293710e+00	2.95354829347646408166e+00        1.949330e+04
