# Network	H1	L1	
1.200985665956793902e+01 9.812066538875763300e+00 6.925316398551258246e+00
1.551411156581022865e+01 1.293072679651145585e+01 8.572278704661165705e+00
1.093020637708930920e+01 9.132365696309554082e+00 6.005772909012821792e+00
1.209878863164139773e+01 9.940525672539161306e+00 6.896856944052482952e+00
1.174722573494820566e+01 9.639812422759238331e+00 6.713518371304727950e+00
1.260691364303590234e+01 1.038477935434278621e+01 7.147770936773267358e+00
1.110191036981365365e+01 9.383637588325866474e+00 5.932938519008421174e+00
1.047745964581794986e+01 8.831230730526785422e+00 5.637953920877940561e+00
1.166449993364793514e+01 9.708350026499690699e+00 6.465949154226016127e+00
1.676117229101996386e+01 1.414156787642504121e+01 8.997385985146951981e+00
1.080891527527971263e+01 9.090539722642427378e+00 5.847626610791359703e+00
1.797993097518067174e+01 1.508919297875145205e+01 9.777227271689007182e+00
1.190584906299879009e+01 9.922305374959393021e+00 6.580053036029504199e+00
1.612663602921893258e+01 1.363822138290840158e+01 8.606236525315942743e+00
1.539538697772856501e+01 1.260873830475540025e+01 8.833892604973652141e+00
1.810168957974730120e+01 1.516426367041406387e+01 9.885154170557592934e+00
1.425986224379327538e+01 1.178582813915292427e+01 8.027323731251412298e+00
1.178855778766011397e+01 9.934215381210488971e+00 6.346767639729917754e+00
1.319043227277369290e+01 1.094717473734384861e+01 7.358455599695524540e+00
1.371366411097723770e+01 1.127100044888460673e+01 7.812114453203314213e+00
1.136217724945635332e+01 9.333052045833541754e+00 6.480216922127366885e+00
1.356349566862451184e+01 1.128916889011014391e+01 7.518183326001381950e+00
1.231481546276265782e+01 1.016610310259090078e+01 6.950181838584504668e+00
1.280479249461414781e+01 1.071968100997784745e+01 7.003652609492214687e+00
1.785936482764007138e+01 1.504850333883865510e+01 9.617663921540881233e+00
1.627777132685411488e+01 1.352522661984005126e+01 9.057266930554932927e+00
1.354176334366475487e+01 1.135473104388464627e+01 7.378986202512152204e+00
1.565660300902402469e+01 1.301805094832616483e+01 8.698250817777351429e+00
1.534424636139926612e+01 1.277488652182492856e+01 8.499892396601877564e+00
1.097988158773757839e+01 9.190090408714524983e+00 6.008330713300657600e+00
1.249365396851487375e+01 1.047010309423135332e+01 6.816768345862614709e+00
1.561373171599238852e+01 1.319317550587589061e+01 8.350373534767355110e+00
1.221436486375745289e+01 1.030682344274502604e+01 6.554395437038733618e+00
1.081276811426283757e+01 9.125346429692381633e+00 5.800345406173637031e+00
1.339071463459220901e+01 1.115101739078873067e+01 7.413909196598595486e+00
1.197678464185682046e+01 9.897218963914337309e+00 6.744510889438300794e+00
1.419793583580110763e+01 1.159531623732561556e+01 8.193291362690466428e+00
1.461112168502697095e+01 1.232058796833354464e+01 7.854170166810754417e+00
1.699451356532402357e+01 1.410277103925994169e+01 9.482897254330731940e+00
1.416896147805138817e+01 1.198352660766619771e+01 7.560063452766811132e+00
1.261312759780781967e+01 1.052388033518034227e+01 6.952620404522724229e+00
1.207162126099835930e+01 1.005389623521855214e+01 6.681557480142322980e+00
1.119326992126221221e+01 9.263899438328248692e+00 6.282472341902901825e+00
1.439879192826721344e+01 1.216542247151721945e+01 7.702447992881023886e+00
1.315913964056552743e+01 1.084842821806978641e+01 7.448124681910892164e+00
1.697350090527131172e+01 1.426148536898663011e+01 9.203790960871849336e+00
1.197886466763915791e+01 9.992729145591352946e+00 6.605949057362075827e+00
1.277726635704805602e+01 1.043338830427682851e+01 7.375835142621585128e+00
1.161977731881922260e+01 9.828785806027008576e+00 6.197918563371710654e+00
1.631306755758971150e+01 1.370462435918736332e+01 8.848697322886250660e+00
1.790139949161041599e+01 1.487377518249367014e+01 9.961471556896855262e+00
1.136412551432094631e+01 9.562483415420258481e+00 6.140216578839287287e+00
1.789103887368397849e+01 1.497464682638888434e+01 9.790261712773187242e+00
1.562776146041797887e+01 1.295985578823963813e+01 8.733216258158103429e+00
1.161155554204459683e+01 9.577655538138428071e+00 6.564810469370223167e+00
1.522590171107476564e+01 1.286843085526019159e+01 8.138278088066106974e+00
1.328892673878227981e+01 1.108625821686985802e+01 7.327376926131766943e+00
1.098702013193429217e+01 9.250897612103219814e+00 5.927520961575115876e+00
1.135648840512430446e+01 9.449987327519867364e+00 6.298219463105162674e+00
1.504139068482493435e+01 1.250012217556973759e+01 8.366025300545533838e+00
1.136803374668419409e+01 9.639387538644397679e+00 6.026142974206448955e+00
1.324305759282593975e+01 1.118846707583696265e+01 7.084968517912909824e+00
1.623417670667598145e+01 1.352451294310223950e+01 8.979757401814428164e+00
1.686303248434392543e+01 1.407421792139032846e+01 9.288608855434365097e+00
1.767011654439938440e+01 1.474025030728732943e+01 9.744641582488943854e+00
1.134729523830815978e+01 9.356204088008130526e+00 6.420479288096098358e+00
1.284861526750211169e+01 1.061125497471590862e+01 7.244872818335408304e+00
1.256149378305964248e+01 1.045189987653589192e+01 6.967705148233171997e+00
1.681314617650902221e+01 1.406204060194503569e+01 9.216338669011101103e+00
1.638280387096099844e+01 1.375299727339806388e+01 8.902321532739655652e+00
1.661130515080620995e+01 1.408819137952960610e+01 8.801040987687116512e+00
1.157629314759882533e+01 9.781142867829473175e+00 6.191914666583524074e+00
1.693022330857668223e+01 1.413893946968878623e+01 9.312510507416876138e+00
1.629208250865435303e+01 1.362000732901206135e+01 8.940209887159182855e+00
1.149110560550902349e+01 9.723677225238542832e+00 6.123365843744612569e+00
1.424590220847264810e+01 1.191555005055090000e+01 7.808034114050879992e+00
1.119207513344131044e+01 9.286613763233251717e+00 6.246707180997207232e+00
