# Mf af A2220 phi2220 logL logPrior
6.151688903834694599e+01 5.544503227703339032e-01 5.893504979053741266e+00 7.870333214910454345e-01 1.977959080235529837e+04 0.000000000000000000e+00
6.318795634174948361e+01 5.739872422417894304e-01 5.210674200337766848e+00 1.370085058479388884e+00 1.977959307057977276e+04 0.000000000000000000e+00
5.262926160158591671e+01 3.958624633166991647e-01 6.368817372043800162e+00 7.030784034873069910e-01 1.977962859012493936e+04 0.000000000000000000e+00
5.129267097386823338e+01 3.390767674273215126e-01 6.323440426197405095e+00 7.040836129082930217e-01 1.977972100165560551e+04 0.000000000000000000e+00
5.874163853730753004e+01 5.303590172573164896e-01 4.241923446237273687e+00 9.863481856349454180e-01 1.977972639493990209e+04 0.000000000000000000e+00
5.539646587502137720e+01 4.793141803497855680e-01 5.063012487658721028e+00 9.655214026001374128e-01 1.977981220462166675e+04 0.000000000000000000e+00
5.967334422099913382e+01 3.455909314374163710e-01 6.061013315658708933e+00 1.216429584451643287e+00 1.977985728993849261e+04 0.000000000000000000e+00
6.164703777142875651e+01 4.024466301784777045e-01 4.875003473449883273e+00 1.478329795804873781e+00 1.977993685591228495e+04 0.000000000000000000e+00
5.690435948305901093e+01 3.715389958620939348e-01 4.322612870779336092e+00 1.154997237201877081e+00 1.977995089772778374e+04 0.000000000000000000e+00
5.036121126028999129e+01 2.908490343031885916e-01 5.554107048545839476e+00 6.901820948067518557e-01 1.978003868163688821e+04 0.000000000000000000e+00
8.163015514250805893e+01 8.427802093670372363e-01 3.405962125275205032e+00 1.124789299738477633e+00 1.978013534835103565e+04 0.000000000000000000e+00
6.615938669801683147e+01 7.628136914022485282e-01 4.870722917424145315e+00 5.678882219789964658e-01 1.978014829663869023e+04 0.000000000000000000e+00
5.735744169239808343e+01 4.339963929875834125e-01 5.999724265363435727e+00 1.296174476466841252e+00 1.978023508930727985e+04 0.000000000000000000e+00
5.954900096354225525e+01 5.683709341071874199e-01 6.354700547058948601e+00 7.645387948945125967e-01 1.978025203663940920e+04 0.000000000000000000e+00
6.102029275712536105e+01 3.517487298246489424e-01 5.534043288378930114e+00 1.333445947043048196e+00 1.978030447907997950e+04 0.000000000000000000e+00
6.960159695564104254e+01 6.843358054164727644e-01 4.449719836973140552e+00 1.392782339569635930e+00 1.978030555175693371e+04 0.000000000000000000e+00
5.621272925237430940e+01 4.342919841356520649e-01 4.664933124461571268e+00 7.652127136501288840e-01 1.978044915089330243e+04 0.000000000000000000e+00
6.990631051605306823e+01 7.290734461230942154e-01 3.657087367155983593e+00 8.592451444192161780e-01 1.978045754100953855e+04 0.000000000000000000e+00
5.822516484113158697e+01 3.081135791243140298e-01 5.621440782082485654e+00 1.156719449092417529e+00 1.978049990482223802e+04 0.000000000000000000e+00
6.032097082398529864e+01 6.518065977174268832e-01 4.923760296865661523e+00 6.873440239789008199e-01 1.978050518128620024e+04 0.000000000000000000e+00
5.432876523049077377e+01 3.328999776232932639e-01 6.789973128574662731e+00 9.349531785828766317e-01 1.978056793059527990e+04 0.000000000000000000e+00
7.305718149194746047e+01 7.054973464604135103e-01 3.915973302305377324e+00 1.183784847241699634e+00 1.978059326878473803e+04 0.000000000000000000e+00
7.014496226113637078e+01 8.073367798239169391e-01 4.118968351992379873e+00 6.051821656855426168e-01 1.978059877533201507e+04 0.000000000000000000e+00
5.650132304966165009e+01 2.846646993885936228e-01 4.653046333635955989e+00 1.178124452408606748e+00 1.978061244647937565e+04 0.000000000000000000e+00
5.620729168167657264e+01 3.498438955622031887e-01 6.366287304605352304e+00 9.535843648384417781e-01 1.978063981676821277e+04 0.000000000000000000e+00
6.672404028779368446e+01 6.817240084948056333e-01 6.157881821175652526e+00 9.285160595301449327e-01 1.978065336411221142e+04 0.000000000000000000e+00
5.993547543085419704e+01 4.926479528040775269e-01 4.455163158478089969e+00 1.232973882030275359e+00 1.978066630223733591e+04 0.000000000000000000e+00
6.149619115612696163e+01 5.585502852331366563e-01 6.670766890406949479e+00 1.028604503289873406e+00 1.978067464417520750e+04 0.000000000000000000e+00
7.985282499401580480e+01 8.091508120372105095e-01 4.659352985934779312e+00 1.243306008382540018e+00 1.978068770164599846e+04 0.000000000000000000e+00
6.629507331528409964e+01 7.352084729117617234e-01 3.997188293728128450e+00 7.852180303671805195e-01 1.978073622481568964e+04 0.000000000000000000e+00
6.074117707293688539e+01 3.597508938460384220e-01 6.120738182787736292e+00 1.459980206081074039e+00 1.978074874062728122e+04 0.000000000000000000e+00
6.458382490064111892e+01 6.681432858690742327e-01 4.864381261425992697e+00 1.145358243358358230e+00 1.978074926886972025e+04 0.000000000000000000e+00
5.858659790320468375e+01 4.472574087009188459e-01 4.309770901522735009e+00 1.145702376663252586e+00 1.978075062908525797e+04 0.000000000000000000e+00
