Mf	af	A2220	phi2220	logL
8.65584852708972363189e+01	9.24961628265601132348e-01	9.75690729047988547507e+00	3.12965898211944759666e+00        1.851246e+04
8.46281868167113771051e+01	8.66096476462230646653e-01	9.60422920292630344363e+00	3.65459755134035724211e+00        1.860411e+04
8.93548260605194286654e+01	9.07628224416036077926e-01	8.59237227738786124576e+00	3.93113340209547246218e+00        1.861016e+04
9.47884662230340637734e+01	8.60915781707372707032e-01	9.89814546224895508431e+00	5.26798854601136845588e+00        1.865764e+04
8.47395124681254969801e+01	9.54934743828916077213e-01	9.79157351349347848668e+00	4.34419409787931076750e+00        1.870014e+04
7.33598915196964469487e+01	7.53438369165410182227e-01	9.81595891167007472689e+00	3.99677424580037587987e+00        1.875183e+04
8.98136860016721527700e+01	9.24578369370034458541e-01	7.72589217117659909917e+00	3.59824859955048470539e+00        1.875714e+04
7.91152417563549192892e+01	8.05018481712633571235e-01	9.13510084037150349445e+00	3.98332845500102905589e+00        1.876738e+04
7.55555102598501804323e+01	8.51521495363663061262e-01	9.17518782436853541640e+00	3.64110192651088970806e+00        1.876962e+04
7.53847506982803849951e+01	8.90839565466936544880e-01	9.19893595013396137006e+00	3.62097895687436599488e+00        1.879694e+04
9.41733740318483683041e+01	9.18835928028140735968e-01	9.20667720030018088551e+00	5.60486638998383490673e+00        1.881721e+04
8.59340846137109650726e+01	8.94997589147868533033e-01	7.72522153672549993786e+00	3.75013217111534968851e+00        1.883460e+04
8.86305421456490023502e+01	9.25519399341538706594e-01	7.83638937290982884321e+00	3.22337595451510106059e+00        1.883700e+04
9.77833669747522833404e+01	8.01045236437395336004e-01	9.55276665595100027417e+00	5.21192186588904338151e+00        1.884175e+04
9.96354466427916918292e+01	7.87555990410885087272e-01	9.50728459590850327743e+00	4.88220708600210784311e+00        1.884480e+04
6.63951369849056476369e+01	6.99523346115022648384e-01	9.84702637978022110588e+00	3.84353324735152401814e+00        1.885350e+04
7.38101609090474823915e+01	6.81049954215983577299e-01	9.51016968487713754143e+00	4.30093093996777842136e+00        1.885797e+04
7.05590749394202418898e+01	8.49514347909270384207e-01	9.93580850666785586611e+00	3.10220094182590910847e+00        1.886198e+04
8.11500138501303922567e+01	9.11400078433781568599e-01	7.99433924389531203047e+00	3.29845931400733993755e+00        1.886465e+04
9.37380886103802168918e+01	7.87347419918213553558e-01	8.99084188859828259410e+00	4.77542503471284440764e+00        1.887723e+04
9.14900531337574136614e+01	7.06083617496165327765e-01	9.73185793624677053515e+00	4.62334195373276113372e+00        1.887728e+04
7.28359804864079620756e+01	7.40178371644701571519e-01	8.94769876478947878695e+00	3.89967375469099541974e+00        1.888792e+04
6.84887041374217631073e+01	7.43772478063800979164e-01	9.78557551268986003379e+00	4.27797043801777387984e+00        1.889049e+04
8.99143445537660568334e+01	8.24518105309993476482e-01	8.14432100033535277817e+00	4.35173702854135679985e+00        1.889350e+04
9.13835992658699325375e+01	9.55578112847001004404e-01	7.41139707874725672809e+00	2.80089438739573548531e+00        1.889514e+04
7.72168298086730828800e+01	9.21370718605323824058e-01	8.73363985254528252256e+00	3.77243190575407716381e+00        1.889584e+04
6.53028964955498310019e+01	5.89628633344630004309e-01	9.89289820423493182489e+00	3.76538743951927612486e+00        1.889682e+04
7.50671320417898755295e+01	8.82409315514350423015e-01	9.21748060334727092879e+00	2.96542755545290148689e+00        1.889689e+04
7.56542921906835061918e+01	9.09426918531496042419e-01	8.90030604410195813614e+00	3.05101593479318822233e+00        1.891265e+04
7.79761778973338550713e+01	6.94404466410368792495e-01	9.18739197384659078693e+00	4.63371824089548045578e+00        1.891847e+04
7.72055713686153524122e+01	6.09262652378190883162e-01	9.94533920803198512317e+00	3.85206170042413553745e+00        1.892238e+04
9.33624400118961830231e+01	7.61166127290078153855e-01	9.54266629434705926371e+00	5.46350183618460860657e+00        1.893623e+04
6.97863913468243879379e+01	6.78075254424439721745e-01	9.43798448713805981924e+00	4.48321569877796832770e+00        1.893644e+04
9.41699134632385010946e+01	9.20215321202286773428e-01	7.46296579867238651929e+00	3.32914674117722020341e+00        1.893802e+04
6.81057599766233181526e+01	8.09193166226388926887e-01	9.86900804256777242074e+00	4.27701812544722503873e+00        1.897163e+04
8.42633009691102898842e+01	8.58978716985712931198e-01	7.86612528372235253471e+00	4.81974157984351858630e+00        1.898063e+04
8.75348907908909552589e+01	6.98845063301032021208e-01	8.87724227626769391009e+00	4.70689867309345277846e+00        1.898096e+04
7.48702692135769467541e+01	8.76074434913524879853e-01	8.63671246670497438913e+00	2.96288376442009360190e+00        1.898155e+04
6.32643702449279459188e+01	4.10966474129174641483e-01	9.75305860439519456406e+00	4.34211903789030095879e+00        1.898446e+04
7.65801807163104655274e+01	6.57178550729025645616e-01	8.84974006061228379849e+00	3.95319137424438959982e+00        1.898463e+04
8.48351340077350641877e+01	7.16216335373137225062e-01	9.01606028496321521004e+00	3.80554369189187990941e+00        1.899398e+04
8.67367740782557632429e+01	8.87203152868652256124e-01	8.07918667050656225115e+00	3.12473721434579276846e+00        1.899815e+04
8.46453391554649527961e+01	6.30114684687987258727e-01	9.10025188641622051477e+00	4.37889961400066862751e+00        1.899918e+04
6.58286415632105104123e+01	7.93868825333250538456e-01	9.31719429317141312197e+00	3.18087477533948392860e+00        1.900734e+04
6.31219149304515809717e+01	5.89609234873234022700e-01	9.56631417717914445120e+00	4.44656371053218624212e+00        1.901973e+04
6.91839759998392196394e+01	7.46274745058520871943e-01	8.17359977109937041462e+00	3.95684579600037356073e+00        1.902092e+04
9.92448439005116114231e+01	9.32760837523934127624e-01	7.12561536619613189458e+00	3.21068604723060957440e+00        1.902692e+04
9.44522210517404516850e+01	8.97177507317655886787e-01	6.62688436901221322728e+00	4.85816632813844329064e+00        1.902749e+04
8.34093078974674568826e+01	7.37019211142987851204e-01	7.89857670716112902909e+00	4.32580136785805002830e+00        1.902972e+04
8.04332927453330910339e+01	5.08873916912299661952e-01	9.73772095047204722107e+00	4.95347781875871007173e+00        1.903196e+04
9.89245385010409563620e+01	9.23967115134044503222e-01	5.97878932269747753736e+00	4.65362102533478871891e+00        1.903245e+04
9.32260484878747064386e+01	8.89930021146010163946e-01	6.78844054470965652115e+00	3.75207552123374998843e+00        1.903399e+04
8.89694335822375990119e+01	9.20672063246009253490e-01	6.23818861309674321802e+00	3.56395314185973433041e+00        1.903610e+04
9.60703068639394501815e+01	8.30410373727128670041e-01	8.96630967228045427930e+00	3.41013957721571792092e+00        1.903787e+04
7.60724217748305875375e+01	6.01983105221466807677e-01	9.68652835266815337434e+00	3.55962901592862834832e+00        1.904101e+04
7.88681896227791696674e+01	9.58931080168712313139e-01	9.18421933517034538852e+00	4.02875206970917165705e+00        1.904198e+04
9.31106113833518520551e+01	7.58940503475334149464e-01	9.43592870309745634927e+00	6.07236485500713385477e+00        1.904376e+04
7.63490358712646752792e+01	8.43269560257857375696e-01	8.95679063748295156699e+00	4.86918251877857866106e+00        1.904968e+04
8.66305587373168890508e+01	6.51581510375524919354e-01	9.05450652332822514268e+00	5.14621647615188315683e+00        1.904997e+04
8.69362401696269131435e+01	9.12072788041952797755e-01	8.04232393421253277666e+00	5.17579143923305728947e+00        1.905030e+04
9.38324239184134540892e+01	5.54693048065816873837e-01	9.89460719026063628689e+00	5.38079583454472576420e+00        1.905124e+04
7.53883299984965447038e+01	5.72513977587057021346e-01	9.08977444769202946873e+00	4.91198733983687496618e+00        1.905252e+04
7.04671940144659316729e+01	6.52241778490881940478e-01	8.69115923981222771033e+00	4.68674964690732664963e+00        1.905788e+04
7.65921549337549691927e+01	8.72192848233316109230e-01	8.73808230661115281634e+00	2.71275818308904170806e+00        1.906422e+04
8.31408656532391745486e+01	7.19408806073543294346e-01	7.99281395501338565168e+00	3.99207035813342603348e+00        1.906586e+04
6.83268480106784181771e+01	6.99174988536222619118e-01	7.93829149499171915494e+00	4.05812327635906822110e+00        1.906624e+04
5.57159351173885539765e+01	4.10760614044562877289e-01	9.26639492851639623439e+00	4.09630068067495667350e+00        1.907836e+04
8.12666613352399878067e+01	4.52325306700786966552e-01	9.48540818876237423751e+00	4.88622628040718431919e+00        1.908017e+04
7.85655064455181673111e+01	3.31156066081049915706e-01	9.66882051170497192061e+00	4.36356194691111021200e+00        1.908288e+04
6.24767196043619890133e+01	4.80783518491468053746e-01	8.95535399419461697335e+00	3.60742219610198011637e+00        1.908317e+04
5.81495907057266805396e+01	7.12215207219127011129e-01	9.65725055096150697409e+00	3.71565741573556440613e+00        1.908344e+04
9.36210534252506931807e+01	4.45144576100763744719e-01	9.44125078882298751637e+00	4.57961441637971677920e+00        1.908410e+04
9.97314128892713256391e+01	8.76842690112012546066e-01	8.02164145735375910817e+00	3.37068599390890843992e+00        1.908618e+04
8.50935946575067418962e+01	7.73663562588260522723e-01	9.45329438271697597429e+00	5.96518094567023648978e+00        1.909416e+04
9.08799939184676759396e+01	7.01259054326545450131e-01	9.36614377096763917052e+00	6.02117342623371332166e+00        1.909632e+04
6.57458275817698165611e+01	9.56675568040308954565e-01	8.63214815703885740561e+00	2.66427961958907211226e+00        1.909966e+04
5.79666208022380260445e+01	2.50192349884830134155e-01	9.20940699064648704564e+00	3.77949048531414355523e+00        1.910328e+04
5.78732530769482451660e+01	5.83286656144281767666e-01	8.95980482843388514880e+00	3.40688596801154641724e+00        1.910529e+04
9.32234585665791541942e+01	5.77595279520072502066e-01	9.80023699265534631309e+00	3.71635375087921238091e+00        1.910859e+04
9.92090045045625572584e+01	6.63277582372768792496e-01	9.42383895931350146213e+00	1.39876544993169593667e-01        1.910942e+04
6.42418806050936836982e+01	6.47636054243894809801e-01	8.72880951424548889861e+00	4.47874743911451123068e+00        1.911047e+04
6.18231860451565111703e+01	4.92634199033888497965e-01	9.23620862879802118073e+00	4.67321334684910905111e+00        1.911051e+04
9.46109446023023394901e+01	7.92596837422251287997e-01	7.32246771938822060832e+00	4.19837940043598933926e+00        1.911181e+04
