# Network	H1	L1	
1.358971301027920298e+01 1.135471188691491662e+01 7.466647016359145184e+00
1.370608128190581532e+01 1.147938166031351592e+01 7.488688857407994171e+00
1.400050650594044122e+01 1.169625155771520753e+01 7.694925725536614358e+00
1.382086838944328555e+01 1.155755236428479371e+01 7.578877646797555379e+00
1.387935092946120008e+01 1.157511908825787472e+01 7.658524682716877585e+00
1.376577692065149883e+01 1.151462556056955400e+01 7.543872508799424281e+00
1.402369485355250767e+01 1.171054349277034667e+01 7.715386474408731488e+00
1.422079001174174984e+01 1.186213653906598786e+01 7.843505930807314286e+00
1.391029930021983674e+01 1.163063740831157844e+01 7.630511129543013027e+00
1.402227496228388759e+01 1.172439250358080187e+01 7.691736835063450073e+00
1.416787016015279832e+01 1.183090387920688435e+01 7.794758384704143062e+00
1.426320696259640464e+01 1.189645216295311592e+01 7.868513124626959510e+00
1.391960370494955512e+01 1.163996416782492460e+01 7.633256282517781877e+00
1.394744319169002900e+01 1.166666982080135284e+01 7.643296859197835857e+00
1.387312182007395833e+01 1.159313941861162789e+01 7.619883690401413112e+00
1.431484732051521114e+01 1.193617424122333048e+01 7.902062913747154305e+00
1.381431082274734301e+01 1.156022532462110242e+01 7.562828435940041061e+00
1.398576773768547987e+01 1.169712788028359540e+01 7.666739761122470576e+00
1.382708611183918990e+01 1.156225409997481002e+01 7.583046252782050800e+00
1.382153560887925892e+01 1.156246702547323935e+01 7.572595517546237609e+00
1.409403493052739087e+01 1.176557348219215449e+01 7.759710127193090834e+00
1.383120449261084417e+01 1.156727490993582919e+01 7.582899766869363845e+00
1.392935304329735402e+01 1.163822454011823737e+01 7.653666164564985053e+00
1.387518811347625203e+01 1.159896859641222022e+01 7.614773317952136189e+00
1.429047244003193384e+01 1.191379854313202102e+01 7.891704938286632220e+00
1.402216331074803435e+01 1.171397947536216222e+01 7.707382744102065253e+00
1.384248161762032048e+01 1.158817067234533660e+01 7.571565082778588085e+00
1.394740359319034262e+01 1.166048890765403634e+01 7.652650875730319768e+00
1.392161887386816232e+01 1.164019329128852931e+01 7.636581186020597656e+00
1.422377703929975468e+01 1.186779859459856645e+01 7.840356483078763539e+00
1.392925252290291205e+01 1.164654677861981291e+01 7.640813044448713676e+00
1.395912799107009405e+01 1.166106191542816539e+01 7.673127737476249877e+00
1.397670617729040110e+01 1.168988823665913124e+01 7.661255026477458152e+00
1.429840883974810239e+01 1.191833147996054088e+01 7.899232246387509981e+00
1.388025058272653212e+01 1.160795123776425619e+01 7.610310394521863309e+00
1.403076416573778751e+01 1.170926396683170090e+01 7.730166908263259806e+00
1.389044877431109626e+01 1.160369417355341604e+01 7.635368273921248949e+00
1.390455139872640977e+01 1.163225002825852528e+01 7.617565810671024451e+00
1.417143387813611888e+01 1.182991662761805429e+01 7.802730979983226511e+00
1.389549347192485840e+01 1.161626559899470834e+01 7.625425388915588520e+00
1.395532208859191137e+01 1.166857653752543200e+01 7.654759054617739977e+00
1.403963750754772732e+01 1.172765068370532049e+01 7.718395609472677776e+00
1.423013835311183328e+01 1.187151948603532503e+01 7.846264247486692156e+00
1.391512217903043158e+01 1.162594258185578155e+01 7.646442593829967826e+00
1.392911344849354727e+01 1.164575276879274135e+01 7.641769684383323380e+00
1.418686848462793471e+01 1.183434913194770743e+01 7.824028247859147633e+00
1.406714590557957045e+01 1.174828174233403644e+01 7.737084078101052143e+00
1.396921617109525648e+01 1.165973806258911338e+01 7.693471826594278085e+00
1.414214274949068972e+01 1.179699396742712203e+01 7.799431702339610695e+00
1.409161759615182774e+01 1.176207145529548725e+01 7.760628940794612518e+00
1.435949837375451921e+01 1.197174081389519351e+01 7.929225399165718002e+00
1.420427570194309297e+01 1.185438797817413814e+01 7.825275322934741595e+00
1.435872115839357122e+01 1.196964307984884002e+01 7.930984670614737553e+00
1.401230316659843567e+01 1.169966292773031569e+01 7.711194940484737970e+00
1.415348400430267262e+01 1.181300707979947262e+01 7.795766363396170462e+00
1.398016211863565772e+01 1.168955716294606972e+01 7.668062740846065317e+00
1.393764566368052726e+01 1.165269324878027568e+01 7.646744843143594927e+00
1.431640092701489131e+01 1.193480943843655950e+01 7.906937407823490638e+00
1.421264562948922894e+01 1.186064277091053398e+01 7.830992839371452519e+00
1.396620472217722941e+01 1.166933064060017422e+01 7.673434481515788441e+00
1.421932397041394935e+01 1.185424757364678250e+01 7.852769488421145638e+00
1.395000844334797208e+01 1.166703365277644089e+01 7.647421873707616946e+00
1.409506166605165767e+01 1.177106153169614622e+01 7.753249240597268610e+00
1.418777452269242367e+01 1.184225205507272527e+01 7.813706685746915959e+00
1.433066743687090749e+01 1.195009192899164496e+01 7.909698608344119641e+00
1.423708687440540999e+01 1.187216955310454125e+01 7.857877116098491932e+00
1.398918237120919450e+01 1.168899039415352092e+01 7.685357960455507786e+00
1.401680891183603883e+01 1.170896733027239733e+01 7.705258991723763273e+00
1.418822826092186240e+01 1.183965857494050589e+01 7.818459311965470171e+00
1.412619612632135180e+01 1.178974774906533796e+01 7.781469335074521432e+00
1.416350108052327705e+01 1.181595577261548158e+01 7.809478346059928633e+00
1.418991987692615098e+01 1.184041911544960257e+01 7.820377310851411856e+00
1.420833594613926643e+01 1.185760949862785196e+01 7.827765155930762830e+00
1.411481737388188407e+01 1.178506455413029386e+01 7.767903382060026729e+00
1.421190281633657193e+01 1.184659912359152756e+01 7.850877076219947348e+00
1.394905259205732051e+01 1.166557297102089308e+01 7.647906607285931635e+00
1.428512036392360329e+01 1.191137842952100456e+01 7.885665965568573910e+00
1.400660473952554419e+01 1.170621393025752965e+01 7.690873276055455676e+00
1.412532833416901745e+01 1.178257854984045672e+01 7.790747285396801836e+00
1.397018585105937483e+01 1.167321367572758284e+01 7.674775253643983497e+00
1.435278087211778342e+01 1.196681280319919871e+01 7.924500621251652888e+00
1.401259112011384111e+01 1.170584567184386415e+01 7.702329972577618200e+00
1.406758928251145946e+01 1.175047918521696033e+01 7.734552807965966004e+00
1.411390917241865317e+01 1.178659882237544387e+01 7.763924286574488853e+00
1.435076292672096798e+01 1.196408759116258302e+01 7.924960863621878460e+00
1.431390407712583901e+01 1.193774079711046454e+01 7.897986742845551689e+00
1.395518360707636951e+01 1.165755759509293377e+01 7.671277626595458976e+00
1.395512387262801113e+01 1.166911871846430415e+01 7.653571103398608244e+00
1.404659492866195158e+01 1.173386753105960700e+01 7.721604875507214416e+00
1.406556525256480050e+01 1.172567979146997175e+01 7.768433516615238510e+00
1.412978852456222789e+01 1.179455212687679122e+01 7.780711013476630633e+00
1.437099587593185035e+01 1.198025587516218771e+01 7.937190411706910531e+00
1.404060861891935375e+01 1.172262087575230183e+01 7.727797240679182167e+00
1.396309509385790726e+01 1.166408675390112570e+01 7.675747833116137286e+00
1.407329345868435588e+01 1.174225965952311412e+01 7.757378865479242158e+00
1.430426323273946387e+01 1.192776212449994055e+01 7.895596072042104119e+00
1.427250472582459651e+01 1.189659862247132516e+01 7.885133630097769242e+00
1.396580852917657189e+01 1.166880947669585566e+01 7.673505930811161058e+00
1.397093825002857237e+01 1.167560232452397351e+01 7.672511058687491392e+00
1.426001340569945341e+01 1.189292649592966633e+01 7.868054504967681773e+00
1.403881127713295740e+01 1.173297687786780230e+01 7.708792101125506946e+00
1.419213172908061082e+01 1.184332391478022828e+01 7.819992433830823764e+00
1.402115286824157891e+01 1.170695225901488712e+01 7.716216466620494430e+00
1.411472909433349621e+01 1.178152478710653916e+01 7.773110773507520221e+00
1.410250260479775086e+01 1.177564343338772446e+01 7.759819678835323309e+00
1.432888302160022498e+01 1.194927066012833805e+01 7.907706325964518612e+00
1.399269960319837658e+01 1.168830960589885137e+01 7.692792779088788890e+00
1.397449465629412124e+01 1.167824736035610655e+01 7.674961855874501637e+00
1.398095690389959422e+01 1.169458296766732808e+01 7.661846067433288887e+00
1.397285098163049000e+01 1.167728162216863907e+01 7.673438503787902931e+00
1.404547933037811269e+01 1.172328526996300901e+01 7.735636502521765934e+00
1.400863522204694434e+01 1.169857502917805014e+01 7.706179537946544755e+00
1.437668621581244288e+01 1.198433088097714183e+01 7.941342448427039180e+00
1.398616524980679365e+01 1.169017328626174823e+01 7.678064009376016408e+00
1.414384300361455082e+01 1.179451346064513828e+01 7.806263327454236567e+00
1.403485440817564367e+01 1.171842232472553746e+01 7.723711315038998215e+00
1.424144297400325954e+01 1.188294714171244060e+01 7.849475473498528366e+00
1.406549881526177082e+01 1.174560059938257517e+01 7.738160212990807807e+00
1.406120423143504183e+01 1.173610370101538614e+01 7.744761736628165139e+00
1.402609134052614692e+01 1.171368732187869455e+01 7.714970357560742009e+00
1.408818836762185533e+01 1.176146271737579774e+01 7.755323734659620882e+00
1.426106947566690586e+01 1.189756787153441842e+01 7.862949912852702283e+00
1.431964586289756269e+01 1.193697846830458076e+01 7.909538715123156649e+00
1.402623675801685188e+01 1.172302275238100577e+01 7.701042470932124573e+00
1.435587333257985776e+01 1.196881515418460395e+01 7.927077831460875856e+00
1.399217982847477160e+01 1.168986591541070119e+01 7.689481857192682845e+00
1.404796652338020024e+01 1.173256729453291669e+01 7.726074560944084624e+00
1.411296622565762604e+01 1.178099137244576688e+01 7.770717982845039451e+00
1.429201675835131446e+01 1.191877888070503744e+01 7.886979967887224774e+00
1.434336224041689967e+01 1.195948279739027953e+01 7.918510691963689396e+00
1.418898498975967293e+01 1.183342377765007036e+01 7.829264124946304193e+00
1.404470227485402312e+01 1.172440230705485931e+01 7.732532090564930627e+00
1.400643497493764222e+01 1.170521964874941290e+01 7.692077332014227053e+00
1.428476391078962493e+01 1.191447957896699528e+01 7.880333517648611341e+00
1.419740421580482703e+01 1.184022584931000566e+01 7.834241399413465423e+00
1.405074562086900514e+01 1.174508132937070037e+01 7.712101987709789164e+00
1.421218092360276941e+01 1.185603710246738984e+01 7.837121335677731615e+00
1.406728355121556540e+01 1.172877851590642884e+01 7.766866873785839509e+00
