# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
6.444291318089049980e+01 4.841790727737872446e-01 9.827253680687986659e+00 1.095686446124544666e+01 1.429709563277205442e+00 4.565928858434589621e+00 1.977692267971580804e+04 0.000000000000000000e+00
5.988753770487536343e+01 6.581621731986441182e-01 9.511448552055776773e+00 1.123396896069166218e+01 2.013979365624715689e-01 3.065962830798035554e+00 1.977703221330781162e+04 0.000000000000000000e+00
6.366319776425015675e+01 7.056302128104556814e-01 1.064257117157635690e+01 1.168799034698236916e+01 5.560326543784565034e-01 3.487797822228662081e+00 1.977713076984316649e+04 0.000000000000000000e+00
5.676091531956038239e+01 4.164289965743948052e-01 1.097383349989344126e+01 1.447472979359860901e+01 1.251954691842715794e+00 4.689407644954188825e+00 1.977785735730491433e+04 0.000000000000000000e+00
6.753232885239452798e+01 5.871570789498596898e-01 1.019314852001649818e+01 1.112048157950868976e+01 1.436886248530513166e+00 4.654936239450876201e+00 1.977832769696298055e+04 0.000000000000000000e+00
8.017622817112119549e+01 8.815590365323230371e-01 5.425975997378882809e+00 4.463158654614481691e+00 6.695475149039654683e-01 3.284556064129378949e+00 1.977858202500088009e+04 0.000000000000000000e+00
5.575423477321643162e+01 4.210664076389910582e-01 8.034717235072244890e+00 8.217185436014034394e+00 8.667596330017727224e-01 3.803465853654914852e+00 1.977873161772732783e+04 0.000000000000000000e+00
5.912976558541160443e+01 5.001009237665410279e-01 7.522559625400456973e+00 7.146386264344323891e+00 1.071439137095521410e+00 4.150661743145726668e+00 1.977876888582547690e+04 0.000000000000000000e+00
6.016715960663807294e+01 4.630136223790890515e-01 9.130625276216486341e+00 9.725984412341022178e+00 1.472067995282822617e+00 4.724101698713266906e+00 1.977903119779438566e+04 0.000000000000000000e+00
7.372212662844924580e+01 8.402539127303042532e-01 6.227670006648951428e+00 6.790014892698896354e+00 4.349550952427350681e-01 3.200623941893066426e+00 1.977905562370988628e+04 0.000000000000000000e+00
5.278915130362324959e+01 3.126283340326920790e-01 1.039633614991843658e+01 1.321252451745385059e+01 9.136805959515266196e-01 4.181662019970521449e+00 1.977908246185850294e+04 0.000000000000000000e+00
6.440685898864211367e+01 6.887956056610475830e-01 8.477503559162204994e+00 1.076786838134200686e+01 6.055276878285251740e-01 3.726658745748324897e+00 1.977914066395237023e+04 0.000000000000000000e+00
6.822951653742696010e+01 7.323790818812438985e-01 6.287701700064522115e+00 6.882199822666937195e+00 7.167685053584821331e-01 3.613726198860535810e+00 1.977916067971493248e+04 0.000000000000000000e+00
6.135105705754639160e+01 6.061591324028074990e-01 9.655014407264832954e+00 1.091192594916419267e+01 7.160661849689544667e-01 3.372383290539844758e+00 1.977917839665854262e+04 0.000000000000000000e+00
5.738091205881071488e+01 4.780691832853485312e-01 8.096333114195990888e+00 8.684342984551832956e+00 7.735443645408505153e-01 3.872579370055839743e+00 1.977919432101937127e+04 0.000000000000000000e+00
5.697833209747971495e+01 4.867474879396868070e-01 1.024535598396473368e+01 1.125389422031062736e+01 9.764220898522059100e-01 4.046218821566822221e+00 1.977926414225599365e+04 0.000000000000000000e+00
6.898285129137249783e+01 7.019131092107867564e-01 7.403273902833955589e+00 8.975398892155727282e+00 1.078574100241305844e+00 4.016219411025667263e+00 1.977930481012795281e+04 0.000000000000000000e+00
7.240660089507086639e+01 7.457244680686319072e-01 5.908138362836199420e+00 5.401290134834622059e+00 9.891201022395761377e-01 3.798133815244592704e+00 1.977954110785848752e+04 0.000000000000000000e+00
5.826694333864043074e+01 4.521735945370836673e-01 1.046995731028246190e+01 1.180908073032979111e+01 1.263861335028672483e+00 4.377076704915967120e+00 1.977963828821016432e+04 0.000000000000000000e+00
6.977888970550841918e+01 7.279959413263940027e-01 7.116991013017638146e+00 8.815802219974713694e+00 7.726292340007263615e-01 3.641727561359812348e+00 1.977978883455482719e+04 0.000000000000000000e+00
6.291307563410013159e+01 6.106076918258607211e-01 8.197662699253701390e+00 8.408601467909983640e+00 7.626962390167537631e-01 3.365393653539841878e+00 1.977980429239071964e+04 0.000000000000000000e+00
6.197772838529976269e+01 5.949688074143968386e-01 8.953909830943931780e+00 8.938708048600229716e+00 8.849271682191256483e-01 3.579410327609315878e+00 1.977981489880625304e+04 0.000000000000000000e+00
6.086123537178475118e+01 5.023745604979019674e-01 7.407701710125379257e+00 7.018557843427765341e+00 1.138157383045509841e+00 4.073220372325736527e+00 1.977982127062407017e+04 0.000000000000000000e+00
6.862550524063972546e+01 7.029930626949388861e-01 8.488984506028820931e+00 7.353108140027349471e+00 1.049385502640979073e+00 4.371520595727072411e+00 1.977982651888697364e+04 0.000000000000000000e+00
6.443736845526565560e+01 5.197907696605453820e-01 8.964379718626959814e+00 1.472596170918664527e+01 1.632294526182405114e+00 4.977757878915467060e+00 1.977997815819138850e+04 0.000000000000000000e+00
5.550084674853482625e+01 4.289201674859282054e-01 1.128027176817437649e+01 1.239595899594843509e+01 9.380413701845985441e-01 3.918204827592846939e+00 1.977999365210899123e+04 0.000000000000000000e+00
6.412383042428295710e+01 5.765803028917995121e-01 7.065050380289632059e+00 6.357423500662375382e+00 1.306962690502895486e+00 4.506898948613782707e+00 1.978000931088793004e+04 0.000000000000000000e+00
5.774508156009959237e+01 3.599635376038499146e-01 9.261665471214278966e+00 1.123010536569513462e+01 1.344591327868244868e+00 4.397985895918756327e+00 1.978005768557500414e+04 0.000000000000000000e+00
5.358406874465993042e+01 3.570905017561744610e-01 1.019983565686009364e+01 1.232100634236884495e+01 9.366391498900693557e-01 3.965699384758114565e+00 1.978006075905582838e+04 0.000000000000000000e+00
6.348430781849156546e+01 5.651200363766537560e-01 9.327213294221191831e+00 1.159588714963210876e+01 1.144405010909069320e+00 4.076847663561268043e+00 1.978016506998314435e+04 0.000000000000000000e+00
6.123795229429895670e+01 6.200111787883917369e-01 9.308326731133441001e+00 1.323901317564759061e+01 4.239707024389907097e-01 3.276457205052782484e+00 1.978016989193269546e+04 0.000000000000000000e+00
6.885148325139890346e+01 6.807990637809931966e-01 7.729783801463823600e+00 8.033516195663372272e+00 1.474854996437991117e+00 4.857463666470438035e+00 1.978024496771304985e+04 0.000000000000000000e+00
6.232056922741795546e+01 5.401381417398394280e-01 9.390101446850273703e+00 8.992128107419288696e+00 9.557103699172797562e-01 3.863685433641362188e+00 1.978033270553840703e+04 0.000000000000000000e+00
7.668759671023079250e+01 7.916895172017739402e-01 6.852492407471981295e+00 6.324859753869261247e+00 1.509413349130728665e+00 4.843023675975887343e+00 1.978040361329686857e+04 0.000000000000000000e+00
6.986726379230849204e+01 7.868173144898567006e-01 8.322917149291757966e+00 7.878886066681277001e+00 5.149022591244754032e-01 3.495957699080769032e+00 1.978045170409551065e+04 0.000000000000000000e+00
6.274919635107698213e+01 4.301178332086038614e-01 1.013849600637749226e+01 1.364467342584176635e+01 1.588357384577992137e+00 4.794690340800382700e+00 1.978050476754176270e+04 0.000000000000000000e+00
7.069791091723070053e+01 6.938383535086891651e-01 7.006092195147264334e+00 8.676702921548480774e+00 1.498810710466482288e+00 4.785868341283818772e+00 1.978053055676225631e+04 0.000000000000000000e+00
6.582494209770663929e+01 7.381965016456148998e-01 9.876618105163352368e+00 1.294147857134536928e+01 3.982644136461347406e-01 3.350204204783282069e+00 1.978058480602121199e+04 0.000000000000000000e+00
5.672613621537279727e+01 4.702129488237894450e-01 1.199603138336084740e+01 1.419222296499068747e+01 6.189702510729617746e-01 3.494007874836737582e+00 1.978061433696378299e+04 0.000000000000000000e+00
7.000793705894851371e+01 7.415331388512141908e-01 6.494110101081793651e+00 7.205930728608071156e+00 8.894842701359866322e-01 3.967218206917939582e+00 1.978064846154851693e+04 0.000000000000000000e+00
6.678159919654879673e+01 6.840869649271282826e-01 7.021703047304166390e+00 8.229119193409152544e+00 7.271615823087398400e-01 3.540661944640346892e+00 1.978066555292364137e+04 0.000000000000000000e+00
6.443004244664729185e+01 6.925801140128461375e-01 9.121130808502439180e+00 1.053035582983846297e+01 4.185834616073846881e-01 3.151639345090310407e+00 1.978069566189308534e+04 0.000000000000000000e+00
7.220497178931493920e+01 7.046223107261965213e-01 8.813092867636479255e+00 1.110825619396744379e+01 1.319830691213028429e+00 4.446867946439865271e+00 1.978070327762615489e+04 0.000000000000000000e+00
5.568188143999450546e+01 2.806297666213968256e-01 9.361494248951739650e+00 1.063561188902300714e+01 1.255215286056232005e+00 4.306782392213011512e+00 1.978076662258469150e+04 0.000000000000000000e+00
5.727276813073407880e+01 5.414574864230561335e-01 1.038863496270684017e+01 1.478593863213843029e+01 3.434959138552289293e-01 3.156800824202946387e+00 1.978077208149278522e+04 0.000000000000000000e+00
7.510661531089854748e+01 7.522147141603378051e-01 6.307201310438104613e+00 7.147606766476740425e+00 1.517290116292561386e+00 4.896556485565067618e+00 1.978078494645416140e+04 0.000000000000000000e+00
7.261550877628711476e+01 7.683401910370361021e-01 6.128294720847037524e+00 6.355805135839204922e+00 8.721051978455089948e-01 3.717203156405380238e+00 1.978079419402701024e+04 0.000000000000000000e+00
7.663673887394398321e+01 8.271519048517165240e-01 6.942021440524261955e+00 7.499346701759740164e+00 9.808247001556139599e-01 4.345329850764652946e+00 1.978079834050868158e+04 0.000000000000000000e+00
6.794403014563923193e+01 7.036952287511348825e-01 7.509771948844706557e+00 7.813968259809605854e+00 1.184884096034944490e+00 4.323281764074921263e+00 1.978082101631417027e+04 0.000000000000000000e+00
5.329753017331665177e+01 2.371537972849644682e-01 1.043600022804464800e+01 1.393417809425099207e+01 1.338828227264733606e+00 4.687857063270342017e+00 1.978082354993266563e+04 0.000000000000000000e+00
5.865351330298899768e+01 4.626315950364502383e-01 1.022294505563818490e+01 9.653595389129648652e+00 9.982239129801242505e-01 3.975443265869897491e+00 1.978083800177850571e+04 0.000000000000000000e+00
6.101581409498051300e+01 5.749303842533637354e-01 9.651423879443120413e+00 9.202550331513622339e+00 9.885024058853660867e-01 3.965717703927511995e+00 1.978084161615272751e+04 0.000000000000000000e+00
5.759647825434104362e+01 3.087851237784569047e-01 9.326497864562158568e+00 1.363242805201415209e+01 1.552766870533185184e+00 4.922178775749737945e+00 1.978089847824983372e+04 0.000000000000000000e+00
6.784259169567393144e+01 6.827999221531511065e-01 8.594636525753420742e+00 7.381768909884529606e+00 1.076559695401406946e+00 3.940887710503959696e+00 1.978093014181000035e+04 0.000000000000000000e+00
5.721603989314237992e+01 4.158414114480233903e-01 9.431226964157017889e+00 1.050749710362224043e+01 1.267736005124907361e+00 4.522549989134882154e+00 1.978096523075128425e+04 0.000000000000000000e+00
6.768590548201689217e+01 6.182957272014473205e-01 8.556728592727257166e+00 9.511607584912669111e+00 1.471586164600726887e+00 4.545238008677245034e+00 1.978099868381763372e+04 0.000000000000000000e+00
5.919707599828455358e+01 4.755769024290216196e-01 8.557342132735806572e+00 7.759315930425778163e+00 1.014031294054271282e+00 4.103563565507267086e+00 1.978101558888400905e+04 0.000000000000000000e+00
6.409132353379932567e+01 6.653895595577642430e-01 8.426800108350278151e+00 7.481245535783119571e+00 7.622526886159158854e-01 3.902931702801883507e+00 1.978106327664642231e+04 0.000000000000000000e+00
6.245133197698017113e+01 6.218398173313476329e-01 1.189452433959415245e+01 1.425545488902010760e+01 7.907367227087460648e-01 3.898006502235143778e+00 1.978107979574876299e+04 0.000000000000000000e+00
6.613953747091825619e+01 5.325508355923664894e-01 8.855217595079219350e+00 1.067123994876251913e+01 1.516106783466970809e+00 4.790044724536171472e+00 1.978110391672889091e+04 0.000000000000000000e+00
5.686749190204763238e+01 3.418604960638175205e-01 1.207349626351718541e+01 1.437032054375949386e+01 1.250911402312097520e+00 4.391736576827226735e+00 1.978111401295233736e+04 0.000000000000000000e+00
6.393889699573479390e+01 5.954240610514877075e-01 1.142628632894127705e+01 1.386600945708208243e+01 1.128432750489728020e+00 4.450884476452350746e+00 1.978118158843557103e+04 0.000000000000000000e+00
6.157836935412873203e+01 5.772220744395512027e-01 8.302760763721735771e+00 9.663375237690233988e+00 9.748406216119593903e-01 3.913372320017835193e+00 1.978124953539888520e+04 0.000000000000000000e+00
6.570832843441007753e+01 7.363522408543786701e-01 8.996955398774103330e+00 1.138704510502504341e+01 3.495699248226212252e-01 3.095500880766367313e+00 1.978130802098519416e+04 0.000000000000000000e+00
6.967406529996681286e+01 7.185344053829471056e-01 8.877805794257890071e+00 8.398504139259733492e+00 1.242376934027800361e+00 4.467191651929931062e+00 1.978132574322923756e+04 0.000000000000000000e+00
5.945334347713497891e+01 5.171666917001044306e-01 9.041440231256217430e+00 9.021065280983501466e+00 1.099098066470519663e+00 4.171412756692382651e+00 1.978133142685621715e+04 0.000000000000000000e+00
7.457758590521912367e+01 7.913529691327205740e-01 6.577607646761046922e+00 6.411468486529495081e+00 1.265311444958871823e+00 4.464580751339787490e+00 1.978133943248667856e+04 0.000000000000000000e+00
5.847207683460301553e+01 4.295719805403295788e-01 1.004134775797463597e+01 1.106166424476817234e+01 9.396566513544154509e-01 3.996916160364206494e+00 1.978134907956778625e+04 0.000000000000000000e+00
7.175689343678237719e+01 7.812689855081342838e-01 8.040539714442221708e+00 8.416940809704017923e+00 5.672380069361313559e-01 3.445835654549187499e+00 1.978135500209812380e+04 0.000000000000000000e+00
5.581412153434965262e+01 2.452125335747303292e-01 1.022851186440647631e+01 1.382419811993643677e+01 1.441441846400012938e+00 4.650500542985041896e+00 1.978139257293791525e+04 0.000000000000000000e+00
7.732609183118357521e+01 8.119566543256409030e-01 5.988967217616277594e+00 5.063538459075539677e+00 1.149608785658339460e+00 4.026311319753873796e+00 1.978139444815868410e+04 0.000000000000000000e+00
5.971914288272781590e+01 5.768795185760613453e-01 8.985535997375839301e+00 1.045344523105592849e+01 7.994837059589942063e-01 3.934227519300050879e+00 1.978142161307139759e+04 0.000000000000000000e+00
6.544799408858172285e+01 7.141528772688107152e-01 8.824390452238795035e+00 1.069888712694442745e+01 3.785568008754653380e-01 3.118150496223564438e+00 1.978150896499889495e+04 0.000000000000000000e+00
5.745458581670644804e+01 5.083115004309920471e-01 8.802885785258029117e+00 1.004716192848782086e+01 6.996616367380125157e-01 3.499062594226500789e+00 1.978156003420950219e+04 0.000000000000000000e+00
7.751463939608261455e+01 8.502139181400267809e-01 5.812495003843151764e+00 5.285602875035674053e+00 7.974725017501307356e-01 3.708290219414112965e+00 1.978156427186874134e+04 0.000000000000000000e+00
5.816940350441402785e+01 4.249927077248376595e-01 9.978626357111920697e+00 1.008141888291272004e+01 1.044158935282890832e+00 4.206108247738827188e+00 1.978157246112549547e+04 0.000000000000000000e+00
6.373363451307407246e+01 6.395406853937585234e-01 1.082096973455353961e+01 1.381319161489053826e+01 8.427442452444507959e-01 4.069246048134478322e+00 1.978157819162042870e+04 0.000000000000000000e+00
6.244739434464619166e+01 5.134767575309393539e-01 7.771574246308776246e+00 7.761224863403443308e+00 1.359105827393140231e+00 4.545460449927236191e+00 1.978158614402138119e+04 0.000000000000000000e+00
6.680062906121887067e+01 7.029704598638444324e-01 7.313210440759550401e+00 8.652819281128932616e+00 8.043740841477381442e-01 3.763492612362742129e+00 1.978159885362469504e+04 0.000000000000000000e+00
6.096736570420011958e+01 5.082407504974312262e-01 1.165288948211301090e+01 1.390926249469190168e+01 1.164273658870626615e+00 4.462862717454731509e+00 1.978160134210011529e+04 0.000000000000000000e+00
6.263627470560613375e+01 6.055940500467312804e-01 1.125795284520941664e+01 1.340455826463785449e+01 8.623353654810030910e-01 3.772382685702551530e+00 1.978160261462644485e+04 0.000000000000000000e+00
5.747554014173156389e+01 5.071098964786735497e-01 9.666542549468369216e+00 1.219076630646778270e+01 7.438821514893555475e-01 3.761180576723402780e+00 1.978162034735879934e+04 0.000000000000000000e+00
6.301716273823948455e+01 5.916344187587320169e-01 1.071927325314541868e+01 1.100600772712321884e+01 9.352875534624408571e-01 4.087962421920670053e+00 1.978162381659234234e+04 0.000000000000000000e+00
7.529794651035425090e+01 8.225661374920771873e-01 6.301102465399117669e+00 5.292237957873576093e+00 7.515554536515928197e-01 3.798362140032427448e+00 1.978163052961512949e+04 0.000000000000000000e+00
5.688882163152859306e+01 3.954424252386117833e-01 1.200552755584663700e+01 1.420692503857847555e+01 1.063043244133651033e+00 4.075653267168154237e+00 1.978163113212365352e+04 0.000000000000000000e+00
6.822396466512560664e+01 6.752902054196171511e-01 6.772101264385104180e+00 6.180936953615664642e+00 9.977034608425967566e-01 3.980486531857611254e+00 1.978166570649071582e+04 0.000000000000000000e+00
6.681053857599752632e+01 6.730683304123156185e-01 8.983169253990931580e+00 1.139296252703490353e+01 8.440996849154518422e-01 4.007967090366056695e+00 1.978166812917377683e+04 0.000000000000000000e+00
6.176013462235045637e+01 5.713574894149837657e-01 1.038550292106945250e+01 1.328436342407155735e+01 1.187966477016379363e+00 4.442667632124598143e+00 1.978167233742227472e+04 0.000000000000000000e+00
7.504006476420430261e+01 8.145109894617369450e-01 7.890274638667200691e+00 7.860558049244660950e+00 7.728394193636597409e-01 3.915019607233908072e+00 1.978173750926154025e+04 0.000000000000000000e+00
5.849005659019062620e+01 4.586811482124207862e-01 9.168334028033344296e+00 1.160646232351594165e+01 1.024543268617374325e+00 4.062893051961586011e+00 1.978173780066053587e+04 0.000000000000000000e+00
6.312427940235934898e+01 5.742752050092052585e-01 1.059170387516721235e+01 1.418632084774481683e+01 1.343712522651532959e+00 4.729357372551465488e+00 1.978174669058845029e+04 0.000000000000000000e+00
5.647023156347624706e+01 2.876243188175937049e-01 9.503277766409450322e+00 1.191155650515868025e+01 1.381185733073010180e+00 4.582310991338379935e+00 1.978178269433353489e+04 0.000000000000000000e+00
6.739535192368376215e+01 5.865250685422757071e-01 9.685371913366203955e+00 1.295806372073856316e+01 1.605625089179347764e+00 5.018113882784958513e+00 1.978183231732047352e+04 0.000000000000000000e+00
6.461768955353373656e+01 6.970060692371702338e-01 7.678045094972690165e+00 8.554491061269951402e+00 6.357615454284115675e-01 3.560162513483456248e+00 1.978183706514627193e+04 0.000000000000000000e+00
5.757696940955158738e+01 4.348688963197405721e-01 9.893583040973686238e+00 9.851715980770691772e+00 9.736906741724479231e-01 3.839687582513087616e+00 1.978188817117828148e+04 0.000000000000000000e+00
7.101072213844838643e+01 7.147353063277978036e-01 8.320176699965628586e+00 9.003018360945652887e+00 1.299796661616736682e+00 4.320108000891541344e+00 1.978189954008189306e+04 0.000000000000000000e+00
5.698760440694498186e+01 4.441271813095865051e-01 1.051048665904870205e+01 1.221572344646152253e+01 9.282210834056672244e-01 4.218674115457206497e+00 1.978190859338147493e+04 0.000000000000000000e+00
6.728248113211196824e+01 6.410148467524623417e-01 1.042350298632366545e+01 1.243388286292164935e+01 1.394750035185181369e+00 4.605072863216869372e+00 1.978196346896895921e+04 0.000000000000000000e+00
6.360143618094986095e+01 5.712672554046577256e-01 9.797156248261888578e+00 1.218705204568513878e+01 1.436424541324493376e+00 4.732503211228229922e+00 1.978197061941441643e+04 0.000000000000000000e+00
6.534435072166353109e+01 6.581777824852031999e-01 9.980865523936611083e+00 9.534260556336253245e+00 8.830469175700665918e-01 3.883985249160510467e+00 1.978197088809086199e+04 0.000000000000000000e+00
7.448731160096943427e+01 7.784637464376357174e-01 8.884688383958712521e+00 1.048166144139065814e+01 1.070179723788541759e+00 4.302519887644883134e+00 1.978200833875626267e+04 0.000000000000000000e+00
5.904704416674109524e+01 4.640963293993082828e-01 9.782962955619005641e+00 1.146823665045926965e+01 1.085491630697894117e+00 4.449141559953780245e+00 1.978204313829904277e+04 0.000000000000000000e+00
5.845159930985003172e+01 4.577782751164631292e-01 1.054753014538845335e+01 1.277965660787928392e+01 8.360636765090273537e-01 3.673807608382460899e+00 1.978204427338857204e+04 0.000000000000000000e+00
7.474512681124636515e+01 7.510148910791090149e-01 7.566146595966364963e+00 8.797865553283216400e+00 1.410236492776266282e+00 4.859875935366603450e+00 1.978206299032782044e+04 0.000000000000000000e+00
6.016028595511635757e+01 4.427934971187375002e-01 1.174708381883440289e+01 1.451056555253059166e+01 1.314963521570598370e+00 4.578051747723443476e+00 1.978206972799134746e+04 0.000000000000000000e+00
