# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
9.256609450718003984e+01 8.688848186989891476e-01 1.133900116614792530e+01 1.216794400810842447e+01 4.885735882071107206e+00 4.807565975033627481e+00 1.708325172347057742e+04 0.000000000000000000e+00
9.684490882122338462e+01 5.799597331794926758e-01 1.297220252895519366e+01 1.322037629694008842e+01 6.003279578564766350e-01 6.113213117082301196e-01 1.739136621553398072e+04 0.000000000000000000e+00
8.499543386466108075e+01 8.992003527959966380e-01 1.274504555551804863e+01 1.785555336892364897e-01 3.575044640045472732e+00 5.072552590972097875e+00 1.787644070100503086e+04 0.000000000000000000e+00
7.932740553607123957e+01 7.976173602472828028e-01 1.330795155742532110e+01 7.091114953544714439e+00 3.360029161846461943e+00 4.458388274032536458e+00 1.790960066279505554e+04 0.000000000000000000e+00
7.645938718942210244e+01 9.081645522888807109e-01 9.315479002972505640e+00 1.396299931148612750e+01 2.757822087682134438e+00 4.324224739280181140e+00 1.818042730213016330e+04 0.000000000000000000e+00
9.590347287990820746e+01 8.268742816794085737e-01 1.301315163181007328e+01 1.198404403033386956e+01 5.365495032331947911e+00 9.178882145651114932e-01 1.822851326548155703e+04 0.000000000000000000e+00
7.735080784111529795e+01 2.926676095308379799e-01 1.277215410483861824e+01 1.476869838295317727e+01 4.403161580486186999e+00 4.961749955724085837e+00 1.827880745656453291e+04 0.000000000000000000e+00
9.036662277992620318e+01 3.829625993727795996e-01 1.153287053106083526e+01 1.186002418238290268e+01 1.180454755649036569e+00 2.217074207980225531e-01 1.831765094016603325e+04 0.000000000000000000e+00
9.521553417141869602e+01 7.844037818163377418e-01 1.231089109554351602e+01 6.489926239928811569e-01 5.292879528332454342e+00 5.078889714237723396e+00 1.842902100956331196e+04 0.000000000000000000e+00
7.035587207798984366e+01 6.349807036589436571e-01 1.278370927592655981e+01 1.219666552980867635e+01 5.164520115205730733e+00 6.244313291722132675e+00 1.847765501096313164e+04 0.000000000000000000e+00
7.061837842740693816e+01 6.186703190649955886e-01 1.292027567333774840e+01 8.525398839676662233e-01 4.055194829959439140e+00 4.730377128986231305e+00 1.849474723096766320e+04 0.000000000000000000e+00
8.409075361239251833e+01 4.526850380213350289e-01 1.257764676386688407e+01 8.861364700681015449e+00 4.641640428914146632e+00 3.278841650004631791e+00 1.856165588247464257e+04 0.000000000000000000e+00
6.657103083371502805e+01 8.582376936908071574e-01 7.135357449874498492e+00 1.422945031634714397e+01 3.845961204446195048e+00 4.382858574142911579e+00 1.858353151642536614e+04 0.000000000000000000e+00
9.901855804887442503e+01 9.320326134172041144e-01 1.142208975587043795e+01 7.789503916198148303e+00 1.026498695383646353e+00 2.197740744899852494e+00 1.863071412333054468e+04 0.000000000000000000e+00
7.596791738238789549e+01 2.969885987780395142e-01 1.073215920448074101e+01 9.581445985660995035e+00 8.778046877756294775e-01 5.622877815638432919e-01 1.864021735570177771e+04 0.000000000000000000e+00
9.136945108264215776e+01 8.897193465625030662e-01 5.549286585578276920e+00 1.297420474368357191e+01 6.091620927634424199e+00 5.499453585622390506e+00 1.866579348977521659e+04 0.000000000000000000e+00
8.595439088636985048e+01 9.365557566735611683e-01 1.352482078949178224e+01 1.224783216048623480e+01 4.116414758672435781e+00 7.267863756522012775e-01 1.867405881695552307e+04 0.000000000000000000e+00
6.260705130498762827e+01 5.073765263024163641e-01 1.388712032516185424e+01 1.276739265758045327e+01 2.764601657754559128e+00 4.467767164013576320e+00 1.870015425870978288e+04 0.000000000000000000e+00
9.599666813128892784e+01 2.226187616621281562e-01 1.338691211500454692e+01 5.782958184339038965e+00 4.184402956566843024e+00 3.265165589425684800e+00 1.870852643308250845e+04 0.000000000000000000e+00
6.548326967745374816e+01 6.498858708712160759e-01 7.950599229799813372e+00 1.244329533479568894e+01 3.523401398783572169e+00 4.626814267591481844e+00 1.871231154004634300e+04 0.000000000000000000e+00
9.943407674789737882e+01 7.036302059602648207e-01 1.031732455301805551e+01 1.280667164715836037e+01 2.371861732349973551e-01 4.765832023295371478e+00 1.874727748135349975e+04 0.000000000000000000e+00
5.767032596459042537e+01 9.430365466547360187e-01 7.715030779156025531e+00 1.400182208103883319e+01 4.918927335382659027e-01 1.320434733849108255e+00 1.876484403678169838e+04 0.000000000000000000e+00
8.723004440435663298e+01 9.077315526038618465e-01 7.643289613136147409e+00 1.053844200053389457e+01 4.599951251041691336e+00 6.120072221004162927e+00 1.877045079686734971e+04 0.000000000000000000e+00
9.283166489366244889e+01 7.053538295843607697e-01 1.079289416674894220e+01 4.149625368015009030e+00 4.944035963479733731e+00 3.291476513834314943e+00 1.880262072680391429e+04 0.000000000000000000e+00
9.996748509413784234e+01 7.684535653364327201e-01 1.019889797155919986e+01 3.562812602423499064e-01 1.870465557462762107e-01 4.215168878934969499e+00 1.880543605218309312e+04 0.000000000000000000e+00
