# Mf af A2220 phi2220 logL logPrior
8.405959092724560833e+01 8.213476415499744165e-01 4.142490437151225002e+00 4.184306088972203241e+00 9.035480944969932898e+04 0.000000000000000000e+00
7.717795384639387635e+01 3.758451930767857663e-01 3.922854841474229026e+00 3.352761190058729301e+00 9.036664090492612740e+04 0.000000000000000000e+00
7.091719303496677185e+01 6.092767228881037500e-01 5.016259875029816406e+00 2.970878609186294206e+00 9.037082815706393740e+04 0.000000000000000000e+00
6.443604908534220499e+01 3.605730022082728192e-01 3.733414018092677811e+00 3.850586582024406290e+00 9.037606981452032051e+04 0.000000000000000000e+00
8.783430145395655586e+01 8.334201269164751569e-01 6.780994120565427608e+00 5.518537201678851645e+00 9.037624756281863665e+04 0.000000000000000000e+00
7.604556795724415963e+01 2.959183745339202254e-01 4.748979102172457445e+00 4.321244360075791491e+00 9.038657904309815785e+04 0.000000000000000000e+00
7.526962953032945336e+01 2.179323743246835421e-01 5.694987460451585548e+00 4.995109714242090604e+00 9.039409516011401138e+04 0.000000000000000000e+00
5.170699030952177111e+01 8.449079703050081935e-01 5.723192437948945610e+00 5.871962411482264166e+00 9.039738696304000041e+04 0.000000000000000000e+00
7.753717696576599394e+01 7.364822734697775708e-01 4.856130305773739053e+00 3.007359920568104084e+00 9.044150013466588280e+04 0.000000000000000000e+00
8.989962423364880806e+01 7.154859356935427961e-01 5.980659720499488685e+00 2.268281490743321971e+00 9.044889459111704491e+04 0.000000000000000000e+00
9.920305329452693854e+01 8.599374209841598171e-01 4.139349800661053180e+00 3.347996002373468283e+00 9.045045599208104250e+04 0.000000000000000000e+00
9.752149510385628162e+01 8.079095937898779223e-01 5.106532314840428910e+00 2.554443964840414250e+00 9.050468234823887178e+04 0.000000000000000000e+00
8.335298701180957437e+01 6.312463907191923074e-01 5.635667298501573441e+00 5.105197064269713536e+00 9.050803566975926515e+04 0.000000000000000000e+00
9.792056509630207017e+01 8.901399828140990067e-01 6.574019902100622481e+00 2.355776407679977869e+00 9.053175007164500130e+04 0.000000000000000000e+00
5.625225413899465821e+01 8.557899464366303111e-01 6.313184803409876977e+00 4.175146099725421500e+00 9.053931428736112139e+04 0.000000000000000000e+00
6.122225979790748340e+01 7.313755401558337255e-01 3.991508621505446719e+00 4.405651835629519120e+00 9.054933307243547461e+04 0.000000000000000000e+00
5.250835298464565426e+01 7.719764898980810974e-01 6.579025202894070112e+00 3.876691173719690298e+00 9.054999371021417028e+04 0.000000000000000000e+00
9.477584360415808362e+01 8.281333586765239341e-01 5.255894648008719194e+00 2.540459533784054535e+00 9.056700809627170383e+04 0.000000000000000000e+00
9.385520261543011600e+01 5.171983369580654966e-01 6.495228125672412922e+00 5.634241540636747203e+00 9.057939915120475052e+04 0.000000000000000000e+00
9.951463848719885164e+01 7.467876600739234982e-01 3.786269829795669395e+00 3.086561032416711203e+00 9.058286682541260961e+04 0.000000000000000000e+00
9.847780279424823391e+01 3.255605418054520750e-01 4.192011178201241250e+00 9.385843851171407071e-01 9.059844578308220662e+04 0.000000000000000000e+00
7.964101411187097312e+01 2.907929791728993130e-01 3.279724059636340172e+00 3.530477288157843674e+00 9.062380624008401355e+04 0.000000000000000000e+00
6.613889511213156425e+01 5.091293167399906228e-01 3.080026383318814620e+00 4.082363153854866589e+00 9.062491732725164911e+04 0.000000000000000000e+00
5.358658643793796017e+01 2.877949976101891183e-01 3.336896159091210734e+00 4.696026096735636202e+00 9.065283154920245579e+04 0.000000000000000000e+00
9.851039423613366353e+01 8.628747506375532561e-01 3.411604654767641076e+00 4.194605381197257898e+00 9.066185686471486406e+04 0.000000000000000000e+00
8.272495831341939265e+01 4.924984672238479910e-01 4.746102337307675612e+00 4.877705053263864166e+00 9.067173420662096760e+04 0.000000000000000000e+00
6.372553390627531655e+01 8.097313422659124793e-01 4.142272310750836795e+00 4.798324098148166073e+00 9.067316153886019310e+04 0.000000000000000000e+00
8.179282816413913793e+01 8.867726183637925086e-01 3.618519711486666512e+00 3.329886542968414354e+00 9.069104704664931342e+04 0.000000000000000000e+00
