# Network	H1	L1	
5.508888873091807881e+01 4.499931888908851363e+01 3.177808932465252667e+01
5.521301733265053002e+01 4.510009550640094744e+01 3.185056778597645177e+01
5.515576321991370179e+01 4.504839262781712250e+01 3.182452730240022021e+01
5.513863361467852542e+01 4.504762059298764143e+01 3.179592420112981088e+01
5.513641069943109585e+01 4.504244277796613005e+01 3.179940460779079814e+01
5.514943506028409104e+01 4.503506445219198895e+01 3.183242305033353503e+01
5.514693804285545298e+01 4.504919259928811925e+01 3.180809679397343359e+01
5.516394448773111492e+01 4.506267767977157490e+01 3.181848286412312632e+01
5.514060847240589425e+01 4.504056593238416895e+01 3.180934018802834728e+01
5.514800343476164812e+01 4.503508491167280425e+01 3.182991375795578648e+01
5.516552698601950766e+01 4.506963882631087159e+01 3.181136626602413742e+01
5.515003369158777957e+01 4.504928885651644777e+01 3.181332723412327823e+01
5.522457953031145195e+01 4.511073384771952277e+01 3.185554702120035486e+01
5.517458826306327779e+01 4.506859956227265940e+01 3.182854887509130748e+01
5.515993350552163577e+01 4.506623981242401555e+01 3.180648194162091258e+01
5.516486831887851139e+01 4.506711546138735258e+01 3.181379890282182288e+01
5.520800920383779697e+01 4.508692448362775451e+01 3.186053233796772233e+01
5.519997961393577413e+01 4.509594738550325843e+01 3.183383858071229255e+01
5.517296386471865333e+01 4.507044146727258038e+01 3.182312441547351156e+01
5.516682094939836389e+01 4.505606919298998037e+01 3.183282523653025109e+01
5.524689544035013000e+01 4.512169991272497072e+01 3.187870218159728353e+01
5.516368713090349019e+01 4.505418167898760373e+01 3.183006583582549354e+01
5.518452034712655774e+01 4.507659337226259311e+01 3.183444700154405638e+01
5.517655242382892311e+01 4.505989248267277247e+01 3.184427777214473210e+01
5.517130650820653415e+01 4.506351372378984621e+01 3.183006114804488718e+01
5.519651553477418560e+01 4.508903695726453265e+01 3.183762041118966479e+01
5.519240993667501982e+01 4.507443718123106891e+01 3.185117309320392920e+01
5.518332316423970241e+01 4.507515389090738722e+01 3.183440995463762135e+01
5.517986957682539639e+01 4.507356993128457390e+01 3.183066603395316463e+01
5.518262006972567235e+01 4.507258623272461762e+01 3.183682660148926047e+01
5.517446204178866509e+01 4.507221229385397265e+01 3.182321386250196227e+01
5.517326831972977175e+01 4.507242375572624837e+01 3.182084464411875757e+01
5.519360176196995127e+01 4.508367969779609297e+01 3.184015547018357140e+01
5.519967931365835057e+01 4.508566163614207767e+01 3.184788393538930151e+01
5.518643870275586494e+01 4.507999193836025142e+01 3.183296001835840983e+01
5.521852796465191915e+01 4.509749480170440705e+01 3.186380067087555901e+01
5.518452517760373865e+01 4.507938407562225791e+01 3.183050345879114928e+01
5.518476790116687880e+01 4.508113108529455815e+01 3.182844998387679070e+01
5.521629637970440285e+01 4.509853824163818103e+01 3.185845624569489232e+01
5.517696238224210248e+01 4.507639008061540409e+01 3.182163155828998669e+01
5.520517796876266203e+01 4.509687621504456700e+01 3.184153624132645177e+01
5.517977857807915143e+01 4.505812842578525590e+01 3.185236296872314554e+01
5.523555915341064804e+01 4.511906844726633636e+01 3.186277855807340131e+01
5.518297556844768081e+01 4.506466525859175931e+01 3.184865362490173624e+01
5.519909340786746554e+01 4.509583167383510016e+01 3.183246579666124276e+01
5.520068072336303544e+01 4.508079028561722623e+01 3.185651424036947077e+01
5.522130344353217168e+01 4.510211789581424568e+01 3.186206702828193116e+01
5.523021352949054119e+01 4.511489678408839410e+01 3.185941893183506224e+01
5.523812546614232843e+01 4.511681517427673782e+01 3.187041721633768887e+01
5.518388674409866468e+01 4.508272918860853906e+01 3.182465844423302670e+01
5.519211689503474361e+01 4.508393500741605919e+01 3.183721991007168128e+01
5.520234485811450043e+01 4.508883477185307953e+01 3.184801181786287216e+01
5.522445139617672538e+01 4.510513996060385722e+01 3.186324498765030455e+01
5.519858794468067487e+01 4.509061539613775693e+01 3.183897790891270674e+01
5.520015718037127783e+01 4.508461652849808132e+01 3.185019160407001593e+01
5.520408740054202212e+01 4.508600843649918488e+01 3.185503271055622321e+01
5.518887275289880989e+01 4.508423237386824667e+01 3.183117445201648366e+01
5.518737949425522515e+01 4.508476819577940375e+01 3.182782638157654986e+01
5.519094354268759162e+01 4.508162579406554471e+01 3.183845575551637097e+01
5.518944026418870408e+01 4.507815319017854705e+01 3.184076666220914476e+01
5.519066355168855864e+01 4.507693824500374546e+01 3.184460679191694155e+01
5.519936943688726672e+01 4.509245713927140997e+01 3.183772440632236567e+01
5.519164867060784729e+01 4.508418171390177775e+01 3.183605883534727710e+01
5.520397993846977869e+01 4.509540973497050231e+01 3.184153611059148758e+01
5.523267953736155533e+01 4.511634414043145824e+01 3.186164434361531761e+01
5.521579471999177713e+01 4.509017802288291676e+01 3.186941845131470785e+01
5.522084782045950391e+01 4.510406138249891228e+01 3.185852603015583995e+01
5.519619538768252198e+01 4.507381027561171294e+01 3.185861912439685995e+01
5.522273485611319188e+01 4.510806041431072799e+01 3.185613489812397958e+01
5.521070988872110519e+01 4.509461231635251721e+01 3.185433136096870399e+01
5.519876054184524605e+01 4.508585418150220647e+01 3.184601887332686943e+01
5.521605592422606179e+01 4.509755807786052628e+01 3.185942697603421436e+01
5.522022497817521014e+01 4.510101786210906027e+01 3.186175504334318731e+01
5.519518039356027828e+01 4.508726817220962602e+01 3.183781065721877468e+01
5.520442003165799605e+01 4.509507442130267663e+01 3.184277396787057413e+01
5.520113481232581165e+01 4.508453768734405998e+01 3.185199752114492000e+01
5.520191999274329220e+01 4.509277358053983420e+01 3.184169815979355533e+01
5.520178791255971618e+01 4.508574041280446210e+01 3.185142697231058762e+01
5.520274872950452050e+01 4.508822043917309941e+01 3.184958155017654136e+01
5.521827434209496488e+01 4.509987867571622644e+01 3.185998689193923283e+01
5.520181204072852665e+01 4.509430286109827080e+01 3.183934518879848952e+01
5.520888415752892797e+01 4.510073997666742684e+01 3.184248959293983461e+01
5.522205165748793831e+01 4.511018638157340632e+01 3.185193987627716794e+01
5.519854389487891666e+01 4.508938462949288351e+01 3.184064449486733750e+01
5.520806182621401348e+01 4.509619643960092361e+01 3.184749844631434357e+01
5.520280944490915687e+01 4.509368860745740903e+01 3.184194432481499604e+01
5.519910706533456590e+01 4.508780738336733407e+01 3.184385413499180117e+01
5.521070868705756141e+01 4.509528296725909513e+01 3.185337984939690159e+01
5.519858297809988557e+01 4.509595098833734284e+01 3.183141164396663925e+01
5.521399660765023754e+01 4.509771619966999623e+01 3.185563395953115062e+01
5.522783330834677429e+01 4.510758073139907509e+01 3.186565129563260967e+01
5.521516851332715703e+01 4.510535418779849692e+01 3.184685004122642482e+01
5.526141739420904742e+01 4.513886008948483664e+01 3.187957907875985697e+01
5.524091591910639920e+01 4.512560631334666539e+01 3.186280663147284997e+01
5.520177937057416528e+01 4.509729932153872056e+01 3.183504420573482463e+01
5.520304350780525482e+01 4.509501098640690486e+01 3.184047733091450283e+01
5.520274382784239009e+01 4.509027569369861510e+01 3.184666331012784113e+01
5.520207371933060614e+01 4.509161621045640800e+01 3.184360360328767214e+01
5.522248221681520164e+01 4.509860137458232288e+01 3.186908684356978227e+01
5.522518500192310853e+01 4.510652228869710001e+01 3.186255961965241212e+01
5.521217464451597579e+01 4.510060627090131646e+01 3.184838367913934931e+01
5.520722443492278586e+01 4.509443880726224307e+01 3.184853557804527924e+01
5.524491188502274497e+01 4.512627005126963553e+01 3.186879414794059784e+01
5.520382838704715311e+01 4.509607192105647755e+01 3.184033551766461301e+01
5.520349685379104443e+01 4.509766884775757489e+01 3.183749879284668083e+01
5.520427145960836413e+01 4.509208325612618040e+01 3.184675203233000573e+01
5.522908051638273719e+01 4.510945939776717495e+01 3.186515349917966233e+01
5.521246333914103843e+01 4.509836310635522238e+01 3.185206042163256157e+01
5.520470720410347099e+01 4.509812005358840992e+01 3.183895829205033223e+01
5.521699380485349451e+01 4.509670491289975303e+01 3.186225997703352419e+01
5.523435889171502566e+01 4.511696324084597620e+01 3.186367885387579690e+01
5.521238531966915275e+01 4.509488878798511990e+01 3.185684381552685451e+01
5.524232087378546652e+01 4.512121217613916713e+01 3.187146415334733618e+01
5.520912550747784309e+01 4.509723167903279517e+01 3.184787644707385468e+01
5.521512900129707901e+01 4.509908166711056765e+01 3.185566360026375676e+01
5.523949780902325557e+01 4.511703186131542509e+01 3.187248898686976162e+01
5.522987571708809895e+01 4.511479331004108673e+01 3.185897983798712474e+01
5.520736867415479310e+01 4.508923314008374206e+01 3.185615499025615804e+01
5.523838108193337604e+01 4.512283730224525158e+01 3.186233353582250771e+01
5.520979008551418588e+01 4.509989955710969411e+01 3.184525052853497940e+01
5.523481606353722384e+01 4.511387665279417547e+01 3.186884119213095090e+01
5.521462512987151428e+01 4.510166195556647750e+01 3.185113682552078984e+01
5.520732821353208664e+01 4.509955756978393282e+01 3.184146660388621086e+01
5.521563200090078283e+01 4.510056585188603862e+01 3.185443418267839988e+01
5.524930299752744389e+01 4.512906531603161397e+01 3.187244806120087048e+01
5.521554227381388813e+01 4.509945810406246380e+01 3.185584698781753232e+01
5.520900998581601016e+01 4.509394184654491511e+01 3.185233417434830727e+01
5.521163457614645154e+01 4.509646264033031571e+01 3.185331458261797266e+01
5.523405720068590341e+01 4.510888113472859118e+01 3.187459674445418756e+01
5.523041295122727234e+01 4.511105545896597846e+01 3.186520343793820587e+01
5.521825825292648915e+01 4.509609704982851497e+01 3.186531147438122957e+01
5.522379310766554283e+01 4.510582957625675959e+01 3.186112778035218085e+01
5.523549523277058171e+01 4.511430433577125143e+01 3.186941288930238159e+01
5.527882839354990097e+01 4.515395845161935284e+01 3.188838197075812531e+01
5.521022280282878114e+01 4.509576955818616995e+01 3.185184876726882663e+01
5.521561886798371432e+01 4.510096609318924266e+01 3.185384473553283868e+01
5.521085815323454682e+01 4.509613149114243669e+01 3.185243762336214957e+01
5.521752320471772180e+01 4.510500974914499750e+01 3.185142013149609852e+01
5.525955132630316058e+01 4.513783588156320548e+01 3.187779453966975396e+01
5.521134257335828011e+01 4.509735934581011918e+01 3.185153887628660030e+01
5.521041137563069867e+01 4.510010571296117377e+01 3.184603568650419803e+01
5.521509475663632571e+01 4.509744163307978226e+01 3.185792597039691643e+01
5.521121881670308795e+01 4.509795943803914753e+01 3.185047468642885704e+01
5.521333350674338902e+01 4.510431122316775543e+01 3.184514572129471688e+01
5.522334351659039697e+01 4.510675174922394604e+01 3.185904292010714300e+01
5.521289013506091692e+01 4.510308105662014810e+01 3.184611932820480718e+01
