Mf	af	A2220	A2330	phi2220	phi2330	logL
9.74191087600026577320e+01	9.42203626950423811515e-01	4.02030066311872289475e+01	4.83553817577407407668e+00	5.12309937924165037515e+00	4.28827751317012850762e+00        3.803498e+03
9.49911863439750447924e+01	9.59466340316904253704e-01	3.42711703092105821611e+01	5.74325602729362749699e+00	4.61457043105333575284e+00	1.65795429073958167088e-01        5.859547e+03
9.68272534723725044614e+01	7.31085915187448809327e-01	4.12067334813822512274e+01	5.92693913389602755615e+00	5.10890595419883375428e+00	5.83999400570019933099e+00        8.646238e+03
8.93598294177054128795e+01	7.58216293508641725474e-01	3.96856150094138939721e+01	1.06999340884752669467e+00	5.13627732936840075695e+00	2.40292124517279326312e+00        8.783989e+03
9.52000944913092297384e+01	6.67161932924071554574e-01	3.93190278354321520737e+01	7.41133837101545012160e+00	5.68189712074926578378e-02	6.53069923975326038779e-01        9.266903e+03
7.57344502689774969895e+01	6.54442337749529867708e-01	3.96373803437629632640e+01	3.29252186942126057190e+00	5.02492614279911098407e+00	2.87699401918181374427e+00        1.018936e+04
9.51501007326242813633e+01	7.75281821003701465678e-01	4.21718039049541744134e+01	2.02492083527573285551e+00	2.75845659468610948650e-01	3.63383139181564862596e+00        1.061212e+04
9.13747086491177782364e+01	5.41983696381741708592e-01	3.69904160450746033462e+01	2.42264258459726278261e+00	5.66512318987341156884e+00	3.26126121482635256132e-01        1.075129e+04
8.73141469133240235578e+01	9.31798563674785418343e-01	3.05912917365088965482e+01	4.85362576799159928242e+00	3.17906173020888838110e+00	5.35443542013749329556e-01        1.108765e+04
7.69558760809687356641e+01	8.91585456341495330435e-01	3.61054301183983170631e+01	8.54339403093484356377e-02	2.88599449155914200560e+00	1.65291218128209194127e+00        1.157273e+04
9.63425355954666287062e+01	5.62755179942956429429e-01	3.42005799586750001140e+01	2.80776297140540798125e+00	7.89843614451898046180e-02	8.34016622350063907554e-01        1.173968e+04
5.71418095748371257514e+01	4.98616309222438991444e-01	4.31127826469441686186e+01	4.68957408204620040948e+00	3.65511893938416454475e+00	5.63422589328708767198e+00        1.188727e+04
6.44746045851024689455e+01	3.39802135418875272954e-01	4.19714192282158364833e+01	3.95872706842325072785e+00	4.64123522556008882844e+00	4.46130394341432534588e+00        1.193521e+04
7.10683479035686360703e+01	6.07969924280661877525e-01	3.50098828839271760671e+01	4.66219590508538228590e+00	5.41623278980462341536e+00	5.84943200374767524607e+00        1.202937e+04
7.89252490469212943935e+01	8.00794820230370518743e-01	3.70712390132395697151e+01	6.25496823238793542288e+00	3.29042720143236833152e+00	1.41537715356173848802e-01        1.206903e+04
9.81048977373212096609e+01	3.60305928857387325337e-01	4.07521111236587856297e+01	7.84154198954111691933e+00	5.14340883159987605211e-01	1.72118715524586740617e-01        1.219571e+04
7.64905210491889562263e+01	8.71372928806418700631e-01	3.92658381459818457415e+01	4.84048211024618035836e-02	2.43375449186392955880e+00	1.30326514926748404655e+00        1.281542e+04
