Mf	af	A2220	phi2220	logL
9.31797721692082916434e+01	2.58658760508196361450e-01	6.96214533351589537347e+00	1.09288788542227877087e+00        8.909734e+04
8.95016287966306975932e+01	5.84025808009537628074e-01	6.87471998423229635478e+00	3.82038718902611851291e+00        8.941127e+04
9.19368286684884310489e+01	9.39096080048830939013e-01	6.95362887657744632719e+00	4.49645389527908179161e+00        8.942339e+04
8.14194600235803136457e+01	2.59688054796766709664e-01	5.53499870845060026880e+00	2.92642229395094410904e+00        8.953764e+04
5.85760835993015902545e+01	5.20131245081147053355e-01	5.92594901693377984486e+00	3.93461644344762584424e+00        8.962537e+04
7.84305997410161097605e+01	6.15253962101931062278e-01	6.09762168888730560212e+00	3.14301100910905883978e+00        8.969442e+04
5.87927440220069001953e+01	5.10106558572572144072e-01	6.27711465931107781557e+00	3.29685320607574761098e+00        8.990205e+04
7.71225170992671280601e+01	2.18677394690771464969e-01	6.64167613844872928297e+00	4.85603644005373880077e+00        8.991213e+04
7.25628536023956201007e+01	7.37026698745313901817e-01	5.86575028826494104806e+00	2.87857693060249797412e+00        9.038961e+04
8.40937288360751722394e+01	6.60671813250773398707e-01	4.50619955586046039286e+00	4.37880933178703024566e+00        9.042081e+04
7.36022609495381487932e+01	5.30184242224936208565e-01	4.32921250067559437724e+00	2.94399774686654636113e+00        9.045260e+04
8.43522097408413316089e+01	6.62719922520641491204e-01	4.18663207476606302748e+00	4.56983186735319257821e+00        9.059696e+04
8.14473808519754669533e+01	9.39191478861049922067e-01	6.94375416600550643409e+00	2.57009693496160940285e+00        9.062914e+04
6.31618773267852873232e+01	3.36055296682819859555e-01	3.03677046966046049192e+00	4.45791393325054485786e+00        9.073834e+04
6.45269113407664463011e+01	5.15881494472993917810e-01	2.56642524048872777698e+00	4.28747367064961082406e+00        9.080450e+04
9.75116895961355112377e+01	3.82811089558710515579e-01	2.50336736420820482607e+00	2.52569524021253855040e+00        9.081456e+04
9.09854374383308623919e+01	3.62746293612525194661e-01	2.89981060945604696144e+00	4.16419380237152569890e+00        9.093869e+04
9.83669424624232249244e+01	5.06669262004864728866e-01	6.66051906815117256144e+00	3.46056032417403763857e-02        9.094449e+04
6.89931703432987148972e+01	5.91140803712673079673e-01	2.11438961073873876728e+00	3.40903445262764348556e+00        9.096805e+04
5.28824279801622623154e+01	2.17887772075052887910e-01	1.95264025876797164827e+00	3.62146151214167844046e+00        9.096877e+04
7.09918875944165108649e+01	8.69779200374136252094e-01	2.24254970918280838177e+00	4.43464559978224581727e+00        9.102590e+04
9.59123288032294283312e+01	2.52916204239206521276e-01	4.48880392996040278319e+00	5.58115581198451415901e+00        9.103968e+04
9.90526289655576590576e+01	4.22819425087822275966e-01	1.82503824893522348383e+00	1.94104497400304443211e+00        9.109125e+04
