# Mf af A2220 phi2220 logL logPrior
6.241297571281362622e+01 5.902686854653095283e-01 4.930798871979614972e+00 1.124911444746035993e+00 9.185566935479492531e+04 0.000000000000000000e+00
6.256852042838868044e+01 5.207247249815972756e-01 4.823453046854504045e+00 1.046211807058116339e+00 9.185567624503734987e+04 0.000000000000000000e+00
7.109233738090442500e+01 7.581082136958989803e-01 5.142135946800241442e+00 9.703210213739552614e-01 9.185573004082086845e+04 0.000000000000000000e+00
6.627332932473788674e+01 6.645673518276491443e-01 4.775232211145449490e+00 9.696272624021853304e-01 9.185576649140164955e+04 0.000000000000000000e+00
6.949707689342416472e+01 6.966257007483970254e-01 5.298456323178164062e+00 1.046768656210802284e+00 9.185577758433447161e+04 0.000000000000000000e+00
6.493404786873425394e+01 6.457181386787235189e-01 5.342481751222236674e+00 1.052965153337577231e+00 9.185583018926395744e+04 0.000000000000000000e+00
6.419023762174066405e+01 5.619484294396734914e-01 4.857509975469731067e+00 1.054921065310782335e+00 9.185590377659615478e+04 0.000000000000000000e+00
6.395226545746440650e+01 6.077932253234160642e-01 5.218909440551061429e+00 1.013755354762855498e+00 9.185592736525066721e+04 0.000000000000000000e+00
6.714767633906174638e+01 7.003029148535236947e-01 5.086790243919432797e+00 9.834993766358153255e-01 9.185592906325560762e+04 0.000000000000000000e+00
7.006720098399017616e+01 7.406511575932356317e-01 5.082807684077359944e+00 9.636699316600585430e-01 9.185593251056318695e+04 0.000000000000000000e+00
6.455199519756740756e+01 5.788073769244427291e-01 4.995907245657711826e+00 1.085029398724160599e+00 9.185607343166224018e+04 0.000000000000000000e+00
6.570241824241908546e+01 6.322715485751181363e-01 5.298593195218028740e+00 1.030540358420911629e+00 9.185608592218527338e+04 0.000000000000000000e+00
6.462778060694682836e+01 6.524638269494892340e-01 4.903006239464988703e+00 1.085762779355324614e+00 9.185618064052046975e+04 0.000000000000000000e+00
6.247328137851372531e+01 5.856564140174994604e-01 5.161832103968984953e+00 1.098735291261121905e+00 9.185622166384229786e+04 0.000000000000000000e+00
7.084187071466384111e+01 7.266237468720259107e-01 5.159457735092111363e+00 1.087501708943597212e+00 9.185622568417584989e+04 0.000000000000000000e+00
6.742514906167160404e+01 7.057760924290524818e-01 5.255038397021221996e+00 1.026455836665718380e+00 9.185624898913362995e+04 0.000000000000000000e+00
6.257810060471260272e+01 5.585645398647479665e-01 4.921469418770573867e+00 1.002016751463292055e+00 9.185627733660393278e+04 0.000000000000000000e+00
6.048535188924400785e+01 5.136912641512546562e-01 4.943398787426843022e+00 1.089283531396156857e+00 9.185628570504466188e+04 0.000000000000000000e+00
6.744831721458660923e+01 6.927551578819725053e-01 5.354037158575604138e+00 1.022503326803643420e+00 9.185630361871274363e+04 0.000000000000000000e+00
6.057876794963392086e+01 5.292646454373890474e-01 4.931448462594042681e+00 1.059425240453749417e+00 9.185632621043462132e+04 0.000000000000000000e+00
7.132438202592946652e+01 7.462457884358445481e-01 5.257583102213491344e+00 1.012033332443234457e+00 9.185639937425666722e+04 0.000000000000000000e+00
6.613443726669005684e+01 6.175712049068267095e-01 4.816765712460385984e+00 1.069633506774150700e+00 9.185643626046985446e+04 0.000000000000000000e+00
7.086361551536901970e+01 7.343410926080390366e-01 5.142811521281521969e+00 9.811722191297647111e-01 9.185647586785042949e+04 0.000000000000000000e+00
6.354403990081839027e+01 6.149934170810856804e-01 5.041439208692541030e+00 1.011395013999375481e+00 9.185651322043235996e+04 0.000000000000000000e+00
6.942350758312652204e+01 7.049303604098180465e-01 5.302699567755140286e+00 1.065086031625019913e+00 9.185655565256913542e+04 0.000000000000000000e+00
